항목,,,,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,,,"1,127",, , 
  당기순이익(지배)＜당기＞,,,,,114.9,, , 
  보통주수정평균발행주식수＜당기＞,,,,,"10,189,311","15,304,932", , 
  우선주수정평균발행주식수＜당기＞,,,,,0,0, , 
펼치기 BPS,,,,,"4,101",, , 
  자본총계(지배)＜당기＞,,,,,627.6,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,,,0,"15,304,932","15,286,551", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,,,0,0,0, , 
펼치기 CPS,,,,,429,, , 
  영업활동현금흐름＜당기＞,,,,,43.7,, , 
  보통주수정평균발행주식수＜당기＞,,,,,"10,189,311","15,304,932", , 
  우선주수정평균발행주식수＜당기＞,,,,,0,0, , 
펼치기 SPS,,,,,"8,922",, , 
  매출액＜당기＞,,,,,909.0,, , 
  보통주수정평균발행주식수＜당기＞,,,,,"10,189,311","15,304,932", , 
  우선주수정평균발행주식수＜당기＞,,,,,0,0, , 
펼치기 PER,,,,,68.48,, , 
  보통주수정주가(기말)＜당기＞,,,,,"77,200","43,850", , 
  EPS＜당기＞,,,,,"1,127",, , 
펼치기 PBR,,,,,18.83,, , 
  보통주수정주가(기말)＜당기＞,,,,,"77,200","43,850", , 
  BPS＜당기＞,,,,,"4,101",, , 
펼치기 PCR,,,,,179.92,, , 
  보통주수정주가(기말)＜당기＞,,,,,"77,200","43,850", , 
  CPS＜당기＞,,,,,429,, , 
펼치기 PSR,,,,,8.65,, , 
  보통주수정주가(기말)＜당기＞,,,,,"77,200","43,850", , 
  SPS＜당기＞,,,,,"8,922",, , 
펼치기 EV/EBITDA,,,,,68.82,, , 
  EV＜당기＞,,,,,"11,895.2",, , 
  EBITDA＜당기＞,,,,,172.9,, , 
펼치기 DPS,,,,,330,, , 
  현금DPS,,,,,330,, , 
  주식DPS,,,,,0,, , 
  현금배당수익률,,,,,0.43,, , 
  현금배당성향(%),,,,,43.97,, , 
