항목,2017/12,"2018/12
(IFRS별도)",2019/12,"2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,925,495,464,335,6,,-98, 
  당기순이익(지배)＜당기＞,144.4,77.3,72.4,52.3,0.9,, , 
  보통주수정평균발행주식수＜당기＞,"15,607,500","15,607,500","15,607,500","15,607,500","15,607,500",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"8,811","9,240","9,696","10,236","10,291",,1, 
  자본총계(지배)＜당기＞,"1,375.0","1,370.2","1,360.9","1,392.8","1,414.5",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"15,605,948","14,829,640","14,035,425","13,606,837","13,744,837","13,744,837", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"2,043",653,"1,038",600,290,,-52, 
  영업활동현금흐름＜당기＞,318.9,101.9,162.1,93.7,45.3,, , 
  보통주수정평균발행주식수＜당기＞,"15,607,500","15,607,500","15,607,500","15,607,500","15,607,500",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"6,127","4,763","4,832","4,852","5,174",,7, 
  매출액＜당기＞,956.3,743.3,754.1,757.3,807.5,, , 
  보통주수정평균발행주식수＜당기＞,"15,607,500","15,607,500","15,607,500","15,607,500","15,607,500",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,8.43,10.79,16.58,25.63,"3,561.40",,"13,797.38", 
  보통주수정주가(기말)＜당기＞,"7,800","5,340","7,690","8,590","20,050","17,750", , 
  EPS＜당기＞,925,495,464,335,6,, , 
펼치기 PBR,0.89,0.58,0.79,0.84,1.95,,132.16, 
  보통주수정주가(기말)＜당기＞,"7,800","5,340","7,690","8,590","20,050","17,750", , 
  BPS＜당기＞,"8,811","9,240","9,696","10,236","10,291",, , 
펼치기 PCR,3.82,8.18,7.41,14.31,69.11,,382.94, 
  보통주수정주가(기말)＜당기＞,"7,800","5,340","7,690","8,590","20,050","17,750", , 
  CPS＜당기＞,"2,043",653,"1,038",600,290,, , 
펼치기 PSR,1.27,1.12,1.59,1.77,3.88,,118.90, 
  보통주수정주가(기말)＜당기＞,"7,800","5,340","7,690","8,590","20,050","17,750", , 
  SPS＜당기＞,"6,127","4,763","4,832","4,852","5,174",, , 
펼치기 EV/EBITDA,1.32,2.17,8.24,12.43,51.78,,316.72, 
  EV＜당기＞,339.9,267.4,836.0,985.1,"2,785.6",, , 
  EBITDA＜당기＞,258.0,123.3,101.5,79.3,53.8,, , 
펼치기 DPS,200,100,100,100,,, , 
  현금DPS,200,100,100,100,,, , 
  주식DPS,0,0,0,,,, , 
  현금배당수익률,2.56,1.87,1.30,1.16,,, , 
  현금배당성향(%),21.62,19.19,19.39,26.01,,, , 
