항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-98,-11,-21,-45,-70,,-55, 
  당기순이익(지배)＜당기＞,-27.3,-3.3,-6.7,-14.4,-22.4,, , 
  보통주수정평균발행주식수＜당기＞,"27,730,449","30,476,193","32,171,314","32,171,314","32,171,314","32,171,314", , 
  우선주수정평균발행주식수＜당기＞,"90,822",0,0,0,0,0, , 
펼치기 BPS,625,777,829,770,933,,21, 
  자본총계(지배)＜당기＞,170.5,242.5,258.6,240.3,291.2,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"27,273,100","31,213,987","31,213,887","31,213,887","31,213,887","31,941,387", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-30,-10,-19,76,-45,,-159, 
  영업활동현금흐름＜당기＞,-8.4,-3.1,-6.1,24.6,-14.6,, , 
  보통주수정평균발행주식수＜당기＞,"27,730,449","30,476,193","32,171,314","32,171,314","32,171,314","32,171,314", , 
  우선주수정평균발행주식수＜당기＞,"90,822",0,0,0,0,0, , 
펼치기 SPS,86,82,380,432,473,,10, 
  매출액＜당기＞,23.9,25.0,122.4,138.9,152.1,, , 
  보통주수정평균발행주식수＜당기＞,"27,730,449","30,476,193","32,171,314","32,171,314","32,171,314","32,171,314", , 
  우선주수정평균발행주식수＜당기＞,"90,822",0,0,0,0,0, , 
펼치기 PER,N/A,N/A,N/A,N/A,N/A,,41.20, 
  보통주수정주가(기말)＜당기＞,"1,610","4,405","2,275","2,545","2,320","2,010", , 
  EPS＜당기＞,-98,-11,-21,-45,-70,, , 
펼치기 PBR,2.75,5.67,2.75,3.31,2.49,,-24.76, 
  보통주수정주가(기말)＜당기＞,"1,610","4,405","2,275","2,545","2,320","2,010", , 
  BPS＜당기＞,625,777,829,770,933,, , 
펼치기 PCR,-56.69,-426.31,-120.76,33.32,-51.18,,-253.59, 
  보통주수정주가(기말)＜당기＞,"1,610","4,405","2,275","2,545","2,320","2,010", , 
  CPS＜당기＞,-30,-10,-19,76,-45,, , 
펼치기 PSR,20.03,53.77,5.98,5.89,4.91,,-16.76, 
  보통주수정주가(기말)＜당기＞,"1,610","4,405","2,275","2,545","2,320","2,010", , 
  SPS＜당기＞,86,82,380,432,473,, , 
펼치기 EV/EBITDA,-29.56,-110.68,-113.02,74.24,"-2,193.37",,"-3,054.37", 
  EV＜당기＞,466.6,"1,293.3",608.1,657.0,386.2,, , 
  EBITDA＜당기＞,-15.8,-11.7,-5.4,8.8,-0.2,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
