항목,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,108,786,"2,272","2,911","2,524","6,651",-13,163
  당기순이익(지배)＜당기＞,4.3,31.4,90.9,118.2,124.1,327.0, , 
  보통주수정평균발행주식수＜당기＞,"4,000,000","4,000,000","4,000,000","4,060,086","4,916,315","4,916,315", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"3,672","4,458","6,680","14,445","16,929","23,330",17,38
  자본총계(지배)＜당기＞,146.9,178.3,267.2,710.1,832.3,"1,147.0", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"4,000,000","4,000,000","4,000,000","4,916,315","4,916,315","4,916,315", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"1,153","2,221","1,435","4,123",-108,"8,157",-103,"7,665"
  영업활동현금흐름＜당기＞,46.1,88.9,57.4,167.4,-5.3,376.0, , 
  보통주수정평균발행주식수＜당기＞,"4,000,000","4,000,000","4,000,000","4,060,086","4,916,315","4,916,315", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"27,653","30,529","37,284","45,347","36,226","44,932",-20,24
  매출액＜당기＞,"1,106.1","1,221.2","1,491.4","1,841.1","1,781.0","2,209.0", , 
  보통주수정평균발행주식수＜당기＞,"4,000,000","4,000,000","4,000,000","4,060,086","4,916,315","4,916,315", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,,18.04,16.12,7.25,-10.62,-55.05
  보통주수정주가(기말)＜당기＞,,,,"52,500","40,700","48,200", , 
  EPS＜당기＞,108,786,"2,272","2,911","2,524","6,651", , 
펼치기 PBR,0.00,0.00,0.00,3.63,2.40,2.07,-33.85,-14.06
  보통주수정주가(기말)＜당기＞,,,,"52,500","40,700","48,200", , 
  BPS＜당기＞,"3,672","4,458","6,680","14,445","16,929","23,330", , 
펼치기 PCR,,,,12.73,-377.46,5.91,"-3,064.22",101.57
  보통주수정주가(기말)＜당기＞,,,,"52,500","40,700","48,200", , 
  CPS＜당기＞,"1,153","2,221","1,435","4,123",-108,"8,157", , 
펼치기 PSR,,,,1.16,1.12,1.07,-2.96,-4.52
  보통주수정주가(기말)＜당기＞,,,,"52,500","40,700","48,200", , 
  SPS＜당기＞,"27,653","30,529","37,284","45,347","36,226","44,932", , 
펼치기 EV/EBITDA,,,,12.57,11.78,5.42,-6.32,-53.98
  EV＜당기＞,,,,"2,358.3","2,051.5","2,406.7", , 
  EBITDA＜당기＞,37.0,67.5,130.5,187.6,174.2,444.0, , 
펼치기 DPS,0,50,70,0,250,, , 
  현금DPS,0,50,70,0,250,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,,0.00,0.61,0.52,0.61,-0.10
  현금배당성향(%),0.00,6.36,3.08,0.00,9.90,3.76,9.90,-6.14
