항목,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,30,9,-53,53,-66,,-225, 
  당기순이익(지배)＜당기＞,13.9,4.1,-24.7,24.5,-33.0,, , 
  보통주수정평균발행주식수＜당기＞,"46,505,747","46,505,747","46,505,747","46,505,747","50,185,325","53,130,203", , 
  우선주수정평균발행주식수＜당기＞,0,"107,310","166,680","166,680","62,105",0, , 
펼치기 BPS,53,102,145,-3,581,,"21,166", 
  자본총계(지배)＜당기＞,24.7,47.5,67.8,-1.3,304.8,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"46,505,747","46,505,747","46,505,747","46,505,747","52,483,342","53,221,948", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,"166,680","166,680","166,680",0,0, , 
펼치기 CPS,63,59,11,51,45,,-12, 
  영업활동현금흐름＜당기＞,29.3,27.3,5.3,23.7,22.5,, , 
  보통주수정평균발행주식수＜당기＞,"46,505,747","46,505,747","46,505,747","46,505,747","50,185,325","53,130,203", , 
  우선주수정평균발행주식수＜당기＞,0,"107,310","166,680","166,680","62,105",0, , 
펼치기 SPS,576,528,544,731,859,,18, 
  매출액＜당기＞,267.8,246.0,254.0,341.2,431.7,, , 
  보통주수정평균발행주식수＜당기＞,"46,505,747","46,505,747","46,505,747","46,505,747","50,185,325","53,130,203", , 
  우선주수정평균발행주식수＜당기＞,0,"107,310","166,680","166,680","62,105",0, , 
펼치기 PER,,,,,N/A,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,065","1,995", , 
  EPS＜당기＞,30,9,-53,53,-66,, , 
펼치기 PBR,,,,,3.56,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,065","1,995", , 
  BPS＜당기＞,53,102,145,-3,581,, , 
펼치기 PCR,,,,,46.13,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,065","1,995", , 
  CPS＜당기＞,63,59,11,51,45,, , 
펼치기 PSR,,,,,2.40,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,065","1,995", , 
  SPS＜당기＞,576,528,544,731,859,, , 
펼치기 EV/EBITDA,,,,,15.87,, , 
  EV＜당기＞,,,,,"1,031.2",, , 
  EBITDA＜당기＞,25.9,14.6,-12.0,56.1,65.0,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,,,,0.00,0.00,,0.00, 
  현금배당성향(%),,,,0.00,,, , 
