항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-430,-529,108,135,904,,572, 
  당기순이익(지배)＜당기＞,-35.7,-44.0,9.0,11.2,75.2,, , 
  보통주수정평균발행주식수＜당기＞,"8,312,766","8,312,766","8,312,766","8,312,766","8,312,766","8,312,766", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"4,414","3,841","3,983","4,134","5,012",,21, 
  자본총계(지배)＜당기＞,366.9,319.3,331.1,343.7,416.6,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"8,312,766","8,312,766","8,312,766","8,312,766","8,312,766",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,200,-216,30,285,"1,077",,278, 
  영업활동현금흐름＜당기＞,16.6,-18.0,2.5,23.7,89.5,, , 
  보통주수정평균발행주식수＜당기＞,"8,312,766","8,312,766","8,312,766","8,312,766","8,312,766","8,312,766", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"3,249","3,090","4,142","4,725","7,384",,56, 
  매출액＜당기＞,270.1,256.8,344.3,392.7,613.8,, , 
  보통주수정평균발행주식수＜당기＞,"8,312,766","8,312,766","8,312,766","8,312,766","8,312,766","8,312,766", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,44.81,45.82,15.59,,-65.97, 
  보통주수정주가(기말)＜당기＞,"4,725","2,400","4,855","6,170","14,100","12,550", , 
  EPS＜당기＞,-430,-529,108,135,904,, , 
펼치기 PBR,1.07,0.62,1.22,1.49,2.81,,88.49, 
  보통주수정주가(기말)＜당기＞,"4,725","2,400","4,855","6,170","14,100","12,550", , 
  BPS＜당기＞,"4,414","3,841","3,983","4,134","5,012",, , 
펼치기 PCR,23.62,-11.09,161.71,21.67,13.09,,-39.58, 
  보통주수정주가(기말)＜당기＞,"4,725","2,400","4,855","6,170","14,100","12,550", , 
  CPS＜당기＞,200,-216,30,285,"1,077",, , 
펼치기 PSR,1.45,0.78,1.17,1.31,1.91,,46.22, 
  보통주수정주가(기말)＜당기＞,"4,725","2,400","4,855","6,170","14,100","12,550", , 
  SPS＜당기＞,"3,249","3,090","4,142","4,725","7,384",, , 
펼치기 EV/EBITDA,-60.54,-5.18,13.47,11.73,10.71,,-8.72, 
  EV＜당기＞,259.3,101.9,311.4,396.0,"1,038.4",, , 
  EBITDA＜당기＞,-4.3,-19.7,23.1,33.8,97.0,, , 
펼치기 DPS,0,0,0,25,30,,20, 
  현금DPS,0,0,0,25,30,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.41,0.21,,-0.19, 
  현금배당성향(%),0.00,0.00,0.00,18.56,3.32,,-15.25, 
