항목,2016/12,2017/12,2018/12,2019/12,2020/12,"2021/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-206,-142,-83,-243,-713,,-193, 
  당기순이익(지배)＜당기＞,-64.1,-44.3,-40.0,-145.3,-462.3,, , 
  보통주수정평균발행주식수＜당기＞,"31,110,625","31,183,684","48,361,408","59,757,067","64,850,584","85,667,114", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,069","1,078","1,166",898,213,,-76, 
  자본총계(지배)＜당기＞,332.5,341.2,685.7,552.2,165.4,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"31,110,610","31,666,165","58,822,762","61,490,308","77,793,054","86,623,486", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-82,344,-12,98,-33,,-134, 
  영업활동현금흐름＜당기＞,-25.4,107.4,-5.9,58.5,-21.7,, , 
  보통주수정평균발행주식수＜당기＞,"31,110,625","31,183,684","48,361,408","59,757,067","64,850,584","85,667,114", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"2,084","2,490","1,655","1,230",755,,-39, 
  매출액＜당기＞,648.2,776.5,800.3,735.1,489.8,, , 
  보통주수정평균발행주식수＜당기＞,"31,110,625","31,183,684","48,361,408","59,757,067","64,850,584","85,667,114", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,N/A,N/A,N/A,,87.34, 
  보통주수정주가(기말)＜당기＞,895,"1,225","3,440",800,297,282, , 
  EPS＜당기＞,-206,-142,-83,-243,-713,, , 
펼치기 PBR,0.84,1.14,2.95,0.89,1.40,,56.81, 
  보통주수정주가(기말)＜당기＞,895,"1,225","3,440",800,297,282, , 
  BPS＜당기＞,"1,069","1,078","1,166",898,213,, , 
펼치기 PCR,-10.96,3.56,-281.13,8.17,-8.88,,-208.78, 
  보통주수정주가(기말)＜당기＞,895,"1,225","3,440",800,297,282, , 
  CPS＜당기＞,-82,344,-12,98,-33,, , 
펼치기 PSR,0.43,0.49,2.08,0.65,0.39,,-39.53, 
  보통주수정주가(기말)＜당기＞,895,"1,225","3,440",800,297,282, , 
  SPS＜당기＞,"2,084","2,490","1,655","1,230",755,, , 
펼치기 EV/EBITDA,40.12,18.96,23.74,36.28,-10.81,,-129.79, 
  EV＜당기＞,664.9,781.7,"2,424.7",884.7,550.2,, , 
  EBITDA＜당기＞,16.6,41.2,102.1,24.4,-50.9,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,0.00,,0.00, 
  현금배당성향(%),0.00,0.00,0.00,0.00,0.00,,0.00, 
