항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,"1,305","-3,106",273,285,"1,945",4,583
  당기순이익(지배)＜당기＞,,40.4,-113.7,11.9,12.4,84.7, , 
  보통주수정평균발행주식수＜당기＞,"2,711,000","2,723,329","3,115,681","4,260,555","4,353,577","4,353,577", , 
  우선주수정평균발행주식수＜당기＞,"96,917","374,999","543,757","83,216",0,0, , 
펼치기 BPS,,"3,277","10,716","11,791","12,225","14,030",4,15
  자본총계(지배)＜당기＞,,106.4,454.0,478.7,511.5,587.0, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"2,711,000","2,871,000","4,008,195","4,059,767","4,183,767","4,183,767", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"374,999","374,999","228,572",0,0,0, , 
펼치기 CPS,,"1,235",583,"1,167","1,613","2,642",38,64
  영업활동현금흐름＜당기＞,,38.3,21.3,50.7,70.2,83.0, , 
  보통주수정평균발행주식수＜당기＞,"2,711,000","2,723,329","3,115,681","4,260,555","4,353,577","4,353,577", , 
  우선주수정평균발행주식수＜당기＞,"96,917","374,999","543,757","83,216",0,0, , 
펼치기 SPS,,"9,048","8,888","6,686","9,942","12,610",49,27
  매출액＜당기＞,,280.3,325.3,290.4,432.8,549.0, , 
  보통주수정평균발행주식수＜당기＞,"2,711,000","2,723,329","3,115,681","4,260,555","4,353,577","4,353,577", , 
  우선주수정평균발행주식수＜당기＞,"96,917","374,999","543,757","83,216",0,0, , 
펼치기 PER,,,N/A,96.01,154.46,15.22,60.88,-90.15
  보통주수정주가(기말)＜당기＞,,,"30,050","26,200","44,000","29,600", , 
  EPS＜당기＞,,"1,305","-3,106",273,285,"1,945", , 
펼치기 PBR,,0.00,2.80,2.22,3.60,2.11,61.97,-41.38
  보통주수정주가(기말)＜당기＞,,,"30,050","26,200","44,000","29,600", , 
  BPS＜당기＞,,"3,277","10,716","11,791","12,225","14,030", , 
펼치기 PCR,,,51.58,22.44,27.28,11.21,21.55,-58.92
  보통주수정주가(기말)＜당기＞,,,"30,050","26,200","44,000","29,600", , 
  CPS＜당기＞,,"1,235",583,"1,167","1,613","2,642", , 
펼치기 PSR,,,3.38,3.92,4.43,2.35,12.94,-46.96
  보통주수정주가(기말)＜당기＞,,,"30,050","26,200","44,000","29,600", , 
  SPS＜당기＞,,"9,048","8,888","6,686","9,942","12,610", , 
펼치기 EV/EBITDA,,,17.58,22.65,16.25,7.52,-28.25,-53.72
  EV＜당기＞,,,956.5,791.6,"1,698.2","1,100.7", , 
  EBITDA＜당기＞,,40.3,54.4,34.9,104.5,146.3, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,0.00,0.00,,0.00, , 
  현금배당성향(%),,0.00,0.00,0.00,,, , 
