항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,"2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,14,-206,-286,-213,-78,, , 
  당기순이익(지배)＜당기＞,3.5,-54.0,-82.1,-67.3,-27.0,, , 
  보통주수정평균발행주식수＜당기＞,"24,674,520","26,267,349","28,658,543","31,523,685","34,522,778","37,642,945", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,690,673,723,723,881,, , 
  자본총계(지배)＜당기＞,172.6,181.6,219.8,235.6,327.9,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"25,024,595","26,993,204","30,412,379","32,590,313","37,225,728","37,789,743", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-132,-35,-117,-41,-177,, , 
  영업활동현금흐름＜당기＞,-32.6,-9.1,-33.5,-13.1,-61.2,, , 
  보통주수정평균발행주식수＜당기＞,"24,674,520","26,267,349","28,658,543","31,523,685","34,522,778","37,642,945", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,794,428,257,165,256,, , 
  매출액＜당기＞,195.9,112.4,73.8,52.1,88.5,, , 
  보통주수정평균발행주식수＜당기＞,"24,674,520","26,267,349","28,658,543","31,523,685","34,522,778","37,642,945", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,400.27,N/A,N/A,N/A,N/A,, , 
  보통주수정주가(기말)＜당기＞,"5,620","4,470","2,890","1,440","1,615","1,810", , 
  EPS＜당기＞,14,-206,-286,-213,-78,, , 
펼치기 PBR,8.15,6.64,4.00,1.99,1.83,, , 
  보통주수정주가(기말)＜당기＞,"5,620","4,470","2,890","1,440","1,615","1,810", , 
  BPS＜당기＞,690,673,723,723,881,, , 
펼치기 PCR,-42.51,-128.38,-24.72,-34.73,-9.10,, , 
  보통주수정주가(기말)＜당기＞,"5,620","4,470","2,890","1,440","1,615","1,810", , 
  CPS＜당기＞,-132,-35,-117,-41,-177,, , 
펼치기 PSR,7.08,10.44,11.23,8.72,6.30,, , 
  보통주수정주가(기말)＜당기＞,"5,620","4,470","2,890","1,440","1,615","1,810", , 
  SPS＜당기＞,794,428,257,165,256,, , 
펼치기 EV/EBITDA,200.59,-31.09,-20.86,-11.30,65.27,, , 
  EV＜당기＞,"1,380.4","1,135.7",868.8,349.6,646.8,, , 
  EBITDA＜당기＞,6.9,-36.5,-41.6,-30.9,9.9,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,0.00,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
