항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,813,975,733,530,743,,40, 
  당기순이익(지배)＜당기＞,65.0,80.4,79.8,57.6,83.0,, , 
  보통주수정평균발행주식수＜당기＞,"8,000,000","8,252,844","10,884,000","10,884,108","11,170,002","11,440,851", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"3,034","3,796","4,288","4,593","5,723",,25, 
  자본총계(지배)＜당기＞,242.7,413.2,466.7,499.9,654.3,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"8,000,000","10,884,000","10,884,000","10,884,299","11,433,768","11,442,856", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,571,"1,908",-440,"1,933",528,,-73, 
  영업활동현금흐름＜당기＞,45.7,157.5,-47.9,210.4,59.0,, , 
  보통주수정평균발행주식수＜당기＞,"8,000,000","8,252,844","10,884,000","10,884,108","11,170,002","11,440,851", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"25,823","23,502","14,466","15,789","16,021",,1, 
  매출액＜당기＞,"2,065.8","1,939.6","1,574.5","1,718.5","1,789.6",, , 
  보통주수정평균발행주식수＜당기＞,"8,000,000","8,252,844","10,884,000","10,884,108","11,170,002","11,440,851", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,5.88,9.73,14.10,8.02,,-43.16, 
  보통주수정주가(기말)＜당기＞,,"5,730","7,130","7,470","5,960","6,160", , 
  EPS＜당기＞,813,975,733,530,743,, , 
펼치기 PBR,0.00,1.51,1.66,1.63,1.04,,-35.96, 
  보통주수정주가(기말)＜당기＞,,"5,730","7,130","7,470","5,960","6,160", , 
  BPS＜당기＞,"3,034","3,796","4,288","4,593","5,723",, , 
펼치기 PCR,,3.00,-16.20,3.86,11.29,,192.12, 
  보통주수정주가(기말)＜당기＞,,"5,730","7,130","7,470","5,960","6,160", , 
  CPS＜당기＞,571,"1,908",-440,"1,933",528,, , 
펼치기 PSR,,0.24,0.49,0.47,0.37,,-21.37, 
  보통주수정주가(기말)＜당기＞,,"5,730","7,130","7,470","5,960","6,160", , 
  SPS＜당기＞,"25,823","23,502","14,466","15,789","16,021",, , 
펼치기 EV/EBITDA,,4.08,8.01,7.20,7.40,,2.78, 
  EV＜당기＞,,563.9,"1,100.1","1,391.4","1,258.1",, , 
  EBITDA＜당기＞,115.3,138.4,137.3,193.2,169.9,, , 
펼치기 DPS,0,200,200,200,200,,0, 
  현금DPS,0,200,200,200,200,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,,3.49,2.81,2.68,3.36,,0.68, 
  현금배당성향(%),0.00,27.06,27.28,37.76,27.54,,-10.22, 
