항목,2017/12,2018/12,"2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,301,488,700,"1,300","1,095","1,366",-16,25
  당기순이익(지배)＜당기＞,35.4,55.0,92.8,173.9,148.7,188.3, , 
  보통주수정평균발행주식수＜당기＞,"11,131,268","11,131,268","13,240,599","13,369,755","13,578,572","13,786,248", , 
  우선주수정평균발행주식수＜당기＞,"617,963","133,333","10,594",0,0,0, , 
펼치기 BPS,"1,468","1,984","4,096","5,093","7,329","8,184",44,12
  자본총계(지배)＜당기＞,165.4,223.5,542.2,671.2,992.3,"1,108.0", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"11,131,270","11,131,270","13,237,260","13,179,940","13,538,399","13,538,399", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"133,333","133,333",0,0,0,0, , 
펼치기 CPS,418,676,539,"2,523","1,775","1,722",-30,-3
  영업활동현금흐름＜당기＞,49.1,76.1,71.4,337.3,241.1,241.3, , 
  보통주수정평균발행주식수＜당기＞,"11,131,268","11,131,268","13,240,599","13,369,755","13,578,572","13,786,248", , 
  우선주수정평균발행주식수＜당기＞,"617,963","133,333","10,594",0,0,0, , 
펼치기 SPS,"6,590","6,924","4,619","5,447","6,031","6,753",11,12
  매출액＜당기＞,774.3,780.0,612.0,728.3,819.0,931.0, , 
  보통주수정평균발행주식수＜당기＞,"11,131,268","11,131,268","13,240,599","13,369,755","13,578,572","13,786,248", , 
  우선주수정평균발행주식수＜당기＞,"617,963","133,333","10,594",0,0,0, , 
펼치기 PER,,,30.98,27.87,24.43,14.53,-12.33,-40.53
  보통주수정주가(기말)＜당기＞,,,"21,689","36,241","26,750","19,850", , 
  EPS＜당기＞,301,488,700,"1,300","1,095","1,366", , 
펼치기 PBR,0.00,0.00,5.29,7.12,3.65,2.43,-48.72,-33.54
  보통주수정주가(기말)＜당기＞,,,"21,689","36,241","26,750","19,850", , 
  BPS＜당기＞,"1,468","1,984","4,096","5,093","7,329","8,184", , 
펼치기 PCR,0.00,0.00,40.25,14.36,15.07,11.53,4.89,-23.47
  보통주수정주가(기말)＜당기＞,,,"21,689","36,241","26,750","19,850", , 
  CPS＜당기＞,418,676,539,"2,523","1,775","1,722", , 
펼치기 PSR,0.00,0.00,4.70,6.65,4.44,2.94,-33.34,-33.72
  보통주수정주가(기말)＜당기＞,,,"21,689","36,241","26,750","19,850", , 
  SPS＜당기＞,"6,590","6,924","4,619","5,447","6,031","6,753", , 
펼치기 EV/EBITDA,,,23.88,25.79,14.77,8.19,-42.75,-44.56
  EV＜당기＞,,,"2,727.5","4,474.5","3,278.4","2,264.6", , 
  EBITDA＜당기＞,45.9,68.4,114.2,173.5,222.0,276.7, , 
펼치기 DPS,0,76,101,126,100,,-21, 
  현금DPS,0,76,101,126,100,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,,,0.47,0.35,0.37,0.77,0.02,0.39
  현금배당성향(%),0.00,15.53,14.29,9.45,9.11,11.13,-0.35,2.02
