항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,69,77,-268,,-446, 
  당기순이익(지배)＜당기＞,,,25.3,29.0,-105.4,, , 
  보통주수정평균발행주식수＜당기＞,"36,839,442","36,839,442","36,839,442","37,443,370","39,351,726","40,844,610", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,,,216,348,777,,123, 
  자본총계(지배)＜당기＞,,,79.7,136.1,310.7,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"36,839,442","36,839,442","36,839,442","39,049,810","39,999,796","41,199,612", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,,,-23,-38,244,,744, 
  영업활동현금흐름＜당기＞,,,-8.3,-14.2,95.8,, , 
  보통주수정평균발행주식수＜당기＞,"36,839,442","36,839,442","36,839,442","37,443,370","39,351,726","40,844,610", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,,0,552,604,632,703,5,11
  매출액＜당기＞,,,203.3,226.1,248.7,287.0, , 
  보통주수정평균발행주식수＜당기＞,"36,839,442","36,839,442","36,839,442","37,443,370","39,351,726","40,844,610", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,,,N/A,, , 
  보통주수정주가(기말)＜당기＞,,,,,"15,350","8,980", , 
  EPS＜당기＞,,,69,77,-268,, , 
펼치기 PBR,,,,,19.76,, , 
  보통주수정주가(기말)＜당기＞,,,,,"15,350","8,980", , 
  BPS＜당기＞,,,216,348,777,, , 
펼치기 PCR,,,,,63.04,, , 
  보통주수정주가(기말)＜당기＞,,,,,"15,350","8,980", , 
  CPS＜당기＞,,,-23,-38,244,, , 
펼치기 PSR,,,,,24.29,12.78, ,-47.38
  보통주수정주가(기말)＜당기＞,,,,,"15,350","8,980", , 
  SPS＜당기＞,,0,552,604,632,703, , 
펼치기 EV/EBITDA,,,,,294.85,, , 
  EV＜당기＞,,,,,"6,177.8",, , 
  EBITDA＜당기＞,,0.0,34.9,40.0,21.0,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,,0.00,0.00,0.00,0.00,,0.00, 
  현금배당성향(%),,,0.00,0.00,,, , 
