항목,"2017/12
(IFRS별도)","2018/12
(GAAP개별)","2019/12
(GAAP개별)","2020/12
(GAAP개별)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,4,97,103,, , 
  당기순이익(지배)＜당기＞,,,2.1,45.4,48.2,, , 
  보통주수정평균발행주식수＜당기＞,"46,685,200","46,685,200","46,685,200","46,685,200","46,685,200","46,685,200", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,,,70,168,286,, , 
  자본총계(지배)＜당기＞,,,32.5,78.5,133.5,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"46,685,200","46,685,200","46,685,200","46,685,200","46,685,200","46,685,200", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,,,8,124,109,, , 
  영업활동현금흐름＜당기＞,,,3.5,57.9,51.0,, , 
  보통주수정평균발행주식수＜당기＞,"46,685,200","46,685,200","46,685,200","46,685,200","46,685,200","46,685,200", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,,,504,731,813,, , 
  매출액＜당기＞,,,235.3,341.3,379.4,, , 
  보통주수정평균발행주식수＜당기＞,"46,685,200","46,685,200","46,685,200","46,685,200","46,685,200","46,685,200", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,"2,000","2,050","3,395","2,205", , 
  EPS＜당기＞,,,4,97,103,, , 
펼치기 PBR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,"2,000","2,050","3,395","2,205", , 
  BPS＜당기＞,,,70,168,286,, , 
펼치기 PCR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,"2,000","2,050","3,395","2,205", , 
  CPS＜당기＞,,,8,124,109,, , 
펼치기 PSR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,"2,000","2,050","3,395","2,205", , 
  SPS＜당기＞,,,504,731,813,, , 
펼치기 EV/EBITDA,,,,,,, , 
  EV＜당기＞,,,,,,, , 
  EBITDA＜당기＞,,,2.8,46.3,58.2,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,,,0.00,0.00,0.00,, , 
  현금배당성향(%),,,0.00,0.00,0.00,, , 
