항목,2017/12,2018/12,2019/12,"2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-169,23,109,-99,156,, , 
  당기순이익(지배)＜당기＞,-27.6,3.7,17.8,-16.1,25.5,, , 
  보통주수정평균발행주식수＜당기＞,"16,312,697","16,312,697","16,312,697","16,312,697","16,312,697","16,312,697", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"2,662","2,599","2,604","2,499","2,651",, , 
  자본총계(지배)＜당기＞,430.9,420.7,421.4,404.4,429.1,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"16,184,347","16,184,347","16,184,347","16,184,347","16,184,347",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,238,296,482,461,542,, , 
  영업활동현금흐름＜당기＞,38.8,48.2,78.7,75.2,88.4,, , 
  보통주수정평균발행주식수＜당기＞,"16,312,697","16,312,697","16,312,697","16,312,697","16,312,697","16,312,697", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"3,735","3,838","3,683","3,225","3,576",, , 
  매출액＜당기＞,609.3,626.1,600.8,526.0,583.3,, , 
  보통주수정평균발행주식수＜당기＞,"16,312,697","16,312,697","16,312,697","16,312,697","16,312,697","16,312,697", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,134.33,35.49,N/A,44.67,, , 
  보통주수정주가(기말)＜당기＞,"2,870","3,045","3,880","8,610","6,980","4,985", , 
  EPS＜당기＞,-169,23,109,-99,156,, , 
펼치기 PBR,1.08,1.17,1.49,3.45,2.63,, , 
  보통주수정주가(기말)＜당기＞,"2,870","3,045","3,880","8,610","6,980","4,985", , 
  BPS＜당기＞,"2,662","2,599","2,604","2,499","2,651",, , 
펼치기 PCR,12.06,10.30,8.04,18.68,12.88,, , 
  보통주수정주가(기말)＜당기＞,"2,870","3,045","3,880","8,610","6,980","4,985", , 
  CPS＜당기＞,238,296,482,461,542,, , 
펼치기 PSR,0.77,0.79,1.05,2.67,1.95,, , 
  보통주수정주가(기말)＜당기＞,"2,870","3,045","3,880","8,610","6,980","4,985", , 
  SPS＜당기＞,"3,735","3,838","3,683","3,225","3,576",, , 
펼치기 EV/EBITDA,10.95,14.20,8.96,43.26,14.24,, , 
  EV＜당기＞,454.2,455.2,586.1,"1,309.3","1,090.2",, , 
  EBITDA＜당기＞,41.5,32.1,65.4,30.3,76.5,, , 
펼치기 DPS,100,100,0,0,100,, , 
  현금DPS,100,100,0,0,100,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,3.48,3.28,0.00,0.00,1.43,, , 
  현금배당성향(%),-24.81,437.69,0.00,0.00,63.49,, , 
