항목,"2017/12
(GAAP개별)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,267,821,164,190,251,,32, 
  당기순이익(지배)＜당기＞,11.4,35.6,10.2,13.9,18.4,, , 
  보통주수정평균발행주식수＜당기＞,"4,200,000","4,271,967","6,263,108","7,301,995","7,320,039","7,986,537", , 
  우선주수정평균발행주식수＜당기＞,"62,132","66,073",0,0,0,0, , 
펼치기 BPS,"4,390","4,090","5,197","5,422","5,674",,5, 
  자본총계(지배)＜당기＞,187.5,231.5,377.1,396.7,415.8,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"4,200,000","5,659,500","7,256,000","7,315,995","7,327,995","8,036,595", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"69,500",0,0,0,0,0, , 
펼치기 CPS,151,927,-161,250,254,,1, 
  영업활동현금흐름＜당기＞,6.4,40.2,-10.1,18.3,18.6,, , 
  보통주수정평균발행주식수＜당기＞,"4,200,000","4,271,967","6,263,108","7,301,995","7,320,039","7,986,537", , 
  우선주수정평균발행주식수＜당기＞,"62,132","66,073",0,0,0,0, , 
펼치기 SPS,"2,826","5,013","3,158","4,084","4,083",,-0, 
  매출액＜당기＞,120.4,217.5,197.8,298.2,298.9,, , 
  보통주수정평균발행주식수＜당기＞,"4,200,000","4,271,967","6,263,108","7,301,995","7,320,039","7,986,537", , 
  우선주수정평균발행주식수＜당기＞,"62,132","66,073",0,0,0,0, , 
펼치기 PER,,,60.15,45.07,65.74,,45.88, 
  보통주수정주가(기말)＜당기＞,,,"9,840","8,550","16,500","18,050", , 
  EPS＜당기＞,267,821,164,190,251,, , 
펼치기 PBR,0.00,0.00,1.89,1.58,2.91,,84.40, 
  보통주수정주가(기말)＜당기＞,,,"9,840","8,550","16,500","18,050", , 
  BPS＜당기＞,"4,390","4,090","5,197","5,422","5,674",, , 
펼치기 PCR,,,-60.97,34.18,65.08,,90.44, 
  보통주수정주가(기말)＜당기＞,,,"9,840","8,550","16,500","18,050", , 
  CPS＜당기＞,151,927,-161,250,254,, , 
펼치기 PSR,,,3.12,2.09,4.04,,93.03, 
  보통주수정주가(기말)＜당기＞,,,"9,840","8,550","16,500","18,050", , 
  SPS＜당기＞,"2,826","5,013","3,158","4,084","4,083",, , 
펼치기 EV/EBITDA,,,36.00,20.94,39.36,,88.00, 
  EV＜당기＞,,,651.6,558.2,"1,126.3",, , 
  EBITDA＜당기＞,15.3,37.2,18.1,26.7,28.6,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,,,0.00,0.00,0.00,,0.00, 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
