항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"1,431","1,453","1,087","1,571","2,811",,79, 
  당기순이익(지배)＜당기＞,122.5,148.8,111.4,161.0,288.0,, , 
  보통주수정평균발행주식수＜당기＞,"8,561,480","10,245,706","10,245,706","10,245,706","10,245,706","10,245,706", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"6,616","7,819","8,607","9,965","12,449",,25, 
  자본총계(지배)＜당기＞,677.7,800.9,881.7,"1,020.8","1,275.3",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"10,243,503","10,243,503","10,243,502","10,243,502","10,243,502","10,243,502", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,"1,517","1,538","1,916","1,913","1,974",,3, 
  영업활동현금흐름＜당기＞,129.9,157.6,196.3,196.0,202.2,, , 
  보통주수정평균발행주식수＜당기＞,"8,561,480","10,245,706","10,245,706","10,245,706","10,245,706","10,245,706", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"8,904","9,299","10,139","10,781","13,575",,26, 
  매출액＜당기＞,762.3,952.7,"1,038.8","1,104.6","1,390.9",, , 
  보통주수정평균발행주식수＜당기＞,"8,561,480","10,245,706","10,245,706","10,245,706","10,245,706","10,245,706", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,9.15,13.06,13.07,15.78,8.09,,-48.73, 
  보통주수정주가(기말)＜당기＞,"13,088","18,969","14,215","24,800","22,750","24,850", , 
  EPS＜당기＞,"1,431","1,453","1,087","1,571","2,811",, , 
펼치기 PBR,1.98,2.43,1.65,2.49,1.83,,-26.57, 
  보통주수정주가(기말)＜당기＞,"13,088","18,969","14,215","24,800","22,750","24,850", , 
  BPS＜당기＞,"6,616","7,819","8,607","9,965","12,449",, , 
펼치기 PCR,8.63,12.33,7.42,12.97,11.52,,-11.11, 
  보통주수정주가(기말)＜당기＞,"13,088","18,969","14,215","24,800","22,750","24,850", , 
  CPS＜당기＞,"1,517","1,538","1,916","1,913","1,974",, , 
펼치기 PSR,1.47,2.04,1.40,2.30,1.68,,-27.15, 
  보통주수정주가(기말)＜당기＞,"13,088","18,969","14,215","24,800","22,750","24,850", , 
  SPS＜당기＞,"8,904","9,299","10,139","10,781","13,575",, , 
펼치기 EV/EBITDA,5.86,7.94,5.55,8.03,4.11,,-48.80, 
  EV＜당기＞,892.4,"1,454.6",827.4,"1,711.2","1,409.8",, , 
  EBITDA＜당기＞,152.2,183.2,149.0,213.0,342.8,, , 
펼치기 DPS,250,300,225,320,560,,75, 
  현금DPS,250,300,225,320,560,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,1.91,1.58,1.58,1.29,2.46,,1.17, 
  현금배당성향(%),20.91,20.65,20.69,20.36,19.92,,-0.45, 
