항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-123,"-4,442","-8,090","-3,785",-120,,97, 
  당기순이익(지배)＜당기＞,-14.0,-506.9,-923.2,-432.0,-13.7,, , 
  보통주수정평균발행주식수＜당기＞,"11,412,356","11,412,356","11,412,356","11,412,356","11,412,356",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"47,825","39,135","8,861","5,084","8,720",,72, 
  자본총계(지배)＜당기＞,"5,454.1","4,461.5","1,010.2",579.6,994.1,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"11,404,397","11,400,169","11,400,169","11,400,169","11,400,169","11,412,356", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,-727,"-1,192","-1,768",-640,"-1,418",,-122, 
  영업활동현금흐름＜당기＞,-82.9,-136.0,-201.8,-73.1,-161.9,, , 
  보통주수정평균발행주식수＜당기＞,"11,412,356","11,412,356","11,412,356","11,412,356","11,412,356",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"10,349","11,626","13,016","11,340","14,501",,28, 
  매출액＜당기＞,"1,181.0","1,326.8","1,485.4","1,294.1","1,654.9",, , 
  보통주수정평균발행주식수＜당기＞,"11,412,356","11,412,356","11,412,356","11,412,356","11,412,356",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,N/A,N/A,N/A,N/A,N/A,,"-4,577.33", 
  보통주수정주가(기말)＜당기＞,"105,500","74,500","18,050","29,050","43,250","33,850", , 
  EPS＜당기＞,-123,"-4,442","-8,090","-3,785",-120,, , 
펼치기 PBR,2.21,1.90,2.04,5.71,4.96,,-13.20, 
  보통주수정주가(기말)＜당기＞,"105,500","74,500","18,050","29,050","43,250","33,850", , 
  BPS＜당기＞,"47,825","39,135","8,861","5,084","8,720",, , 
펼치기 PCR,-145.18,-62.52,-10.21,-45.37,-30.49,,32.79, 
  보통주수정주가(기말)＜당기＞,"105,500","74,500","18,050","29,050","43,250","33,850", , 
  CPS＜당기＞,-727,"-1,192","-1,768",-640,"-1,418",, , 
펼치기 PSR,10.19,6.41,1.39,2.56,2.98,,16.43, 
  보통주수정주가(기말)＜당기＞,"105,500","74,500","18,050","29,050","43,250","33,850", , 
  SPS＜당기＞,"10,349","11,626","13,016","11,340","14,501",, , 
펼치기 EV/EBITDA,206.26,-44.50,-21.10,-30.73,35.23,,214.66, 
  EV＜당기＞,"11,742.2","8,775.2","2,638.1","3,935.3","5,346.0",, , 
  EBITDA＜당기＞,56.9,-197.2,-125.0,-128.1,151.7,, , 
펼치기 DPS,,,,,,, , 
  현금DPS,,,,,,, , 
  주식DPS,,,,,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
