항목,,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,-204,10,1,,-92, 
  당기순이익(지배)＜당기＞,,,-0.1,0.4,0.0,, , 
  보통주수정평균발행주식수＜당기＞,,,"39,699","4,464,098","4,710,000",, , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,, , 
펼치기 BPS,,,"1,508","1,952","1,953",,0, 
  자본총계(지배)＜당기＞,,,3.2,92.0,92.0,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,0,"210,000","4,710,000","4,710,000",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,0,0,0,0,, , 
펼치기 CPS,,,-109,-5,18,,470, 
  영업활동현금흐름＜당기＞,,,-0.0,-0.2,0.9,, , 
  보통주수정평균발행주식수＜당기＞,,,"39,699","4,464,098","4,710,000",, , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,, , 
펼치기 SPS,,,0,0,0,, , 
  매출액＜당기＞,,,0.0,0.0,0.0,, , 
  보통주수정평균발행주식수＜당기＞,,,"39,699","4,464,098","4,710,000",, , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,, , 
펼치기 PER,,,,218.64,"2,742.57",,"1,154.36", 
  보통주수정주가(기말)＜당기＞,,,,"2,085","2,130","2,325", , 
  EPS＜당기＞,,,-204,10,1,, , 
펼치기 PBR,,,0.00,1.07,1.09,,2.12, 
  보통주수정주가(기말)＜당기＞,,,,"2,085","2,130","2,325", , 
  BPS＜당기＞,,,"1,508","1,952","1,953",, , 
펼치기 PCR,,,0.00,-418.16,115.38,,127.59, 
  보통주수정주가(기말)＜당기＞,,,,"2,085","2,130","2,325", , 
  CPS＜당기＞,,,-109,-5,18,, , 
펼치기 PSR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,"2,085","2,130","2,325", , 
  SPS＜당기＞,,,0,0,0,, , 
펼치기 EV/EBITDA,,,,-409.66,-562.35,,-37.27, 
  EV＜당기＞,,,,97.0,99.6,, , 
  EBITDA＜당기＞,,,-0.0,-0.2,-0.2,, , 
펼치기 DPS,,,,,,, , 
  현금DPS,,,,,,, , 
  주식DPS,,,,,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),,,0.00,0.00,,, , 
