항목,"2017/12
(GAAP개별)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,644,950,415,58,-568,,"-1,074", 
  당기순이익(지배)＜당기＞,70.1,105.6,49.8,7.5,-73.0,, , 
  보통주수정평균발행주식수＜당기＞,"10,319,386","10,679,071","11,944,914","12,864,037","12,864,037",, , 
  우선주수정평균발행주식수＜당기＞,"570,000","436,855","56,449",0,0,0, , 
펼치기 BPS,"3,095","4,349","5,885","5,849","5,316",,-9, 
  자본총계(지배)＜당기＞,337.0,489.5,745.2,733.1,665.5,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"10,319,386","11,187,371","12,664,057","12,533,460","12,520,812","12,520,812", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"570,000","68,000",0,0,0,0, , 
펼치기 CPS,776,684,711,-157,45,,129, 
  영업활동현금흐름＜당기＞,84.5,76.1,85.3,-20.3,5.8,, , 
  보통주수정평균발행주식수＜당기＞,"10,319,386","10,679,071","11,944,914","12,864,037","12,864,037",, , 
  우선주수정평균발행주식수＜당기＞,"570,000","436,855","56,449",0,0,0, , 
펼치기 SPS,"8,165","9,005","8,869","8,980","9,994",,11, 
  매출액＜당기＞,889.1,"1,001.0","1,064.4","1,155.2","1,285.7",, , 
  보통주수정평균발행주식수＜당기＞,"10,319,386","10,679,071","11,944,914","12,864,037","12,864,037",, , 
  우선주수정평균발행주식수＜당기＞,"570,000","436,855","56,449",0,0,0, , 
펼치기 PER,,,19.32,143.54,N/A,,-108.76, 
  보통주수정주가(기말)＜당기＞,,,"8,020","8,370","7,140","5,720", , 
  EPS＜당기＞,644,950,415,58,-568,, , 
펼치기 PBR,0.00,0.00,1.36,1.43,1.34,,-6.13, 
  보통주수정주가(기말)＜당기＞,,,"8,020","8,370","7,140","5,720", , 
  BPS＜당기＞,"3,095","4,349","5,885","5,849","5,316",, , 
펼치기 PCR,,,11.29,-53.15,157.95,,397.16, 
  보통주수정주가(기말)＜당기＞,,,"8,020","8,370","7,140","5,720", , 
  CPS＜당기＞,776,684,711,-157,45,, , 
펼치기 PSR,,,0.90,0.93,0.71,,-23.35, 
  보통주수정주가(기말)＜당기＞,,,"8,020","8,370","7,140","5,720", , 
  SPS＜당기＞,"8,165","9,005","8,869","8,980","9,994",, , 
펼치기 EV/EBITDA,,,7.51,22.74,136.42,,499.95, 
  EV＜당기＞,,,753.4,896.2,801.5,, , 
  EBITDA＜당기＞,99.9,159.4,100.3,39.4,5.9,, , 
펼치기 DPS,0,0,100,50,,, , 
  현금DPS,0,0,100,50,,, , 
  주식DPS,0,0,0,,,, , 
  현금배당수익률,,,1.25,0.60,,, , 
  현금배당성향(%),0.00,0.00,25.45,83.54,,, , 
