항목,"2017/02
(IFRS별도)","2018/02
(IFRS별도)",2019/02,2020/02,2021/02,"2022/02(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,595,979,303,-301,"-3,004",,-898, 
  당기순이익(지배)＜당기＞,149.2,245.5,103.6,-105.4,"-1,051.4",, , 
  보통주수정평균발행주식수＜당기＞,"25,077,000","25,077,000","34,243,877","35,005,517","35,005,517","35,005,517", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"4,834","5,741","6,701","6,847","3,613",,-47, 
  자본총계(지배)＜당기＞,"1,212.2","1,439.6","2,345.7","2,397.0","1,264.6",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"25,077,000","25,077,000","35,005,517","35,005,517","35,005,517","35,005,517", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"1,842",148,384,"1,481",-610,,-141, 
  영업활동현금흐름＜당기＞,461.8,37.1,131.4,518.6,-213.5,, , 
  보통주수정평균발행주식수＜당기＞,"25,077,000","25,077,000","34,243,877","35,005,517","35,005,517","35,005,517", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"21,258","21,233","15,154","15,975",519,,-97, 
  매출액＜당기＞,"5,330.9","5,324.6","5,189.2","5,592.2",181.7,, , 
  보통주수정평균발행주식수＜당기＞,"25,077,000","25,077,000","34,243,877","35,005,517","35,005,517","35,005,517", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,28.79,N/A,N/A,,91.48, 
  보통주수정주가(기말)＜당기＞,,,"8,710","6,000","5,100","4,060", , 
  EPS＜당기＞,595,979,303,-301,"-3,004",, , 
펼치기 PBR,0.00,0.00,1.30,0.88,1.41,,61.12, 
  보통주수정주가(기말)＜당기＞,,,"8,710","6,000","5,100","4,060", , 
  BPS＜당기＞,"4,834","5,741","6,701","6,847","3,613",, , 
펼치기 PCR,,,22.70,4.05,-8.36,,-306.43, 
  보통주수정주가(기말)＜당기＞,,,"8,710","6,000","5,100","4,060", , 
  CPS＜당기＞,"1,842",148,384,"1,481",-610,, , 
펼치기 PSR,,,0.57,0.38,9.82,,"2,515.92", 
  보통주수정주가(기말)＜당기＞,,,"8,710","6,000","5,100","4,060", , 
  SPS＜당기＞,"21,258","21,233","15,154","15,975",519,, , 
펼치기 EV/EBITDA,,,8.93,5.96,-10.00,,-267.61, 
  EV＜당기＞,,,"2,551.5","4,112.7","3,508.4",, , 
  EBITDA＜당기＞,364.2,357.2,285.8,689.6,-351.0,, , 
펼치기 DPS,0,194,65,35,0,,-100, 
  현금DPS,0,194,65,35,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,,,0.75,0.58,0.00,,-0.58, 
  현금배당성향(%),0.00,19.86,22.02,-11.50,0.00,,11.50, 
