항목,2017/12,2018/12,2019/12,2020/12,"2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,112,98,230,411,648,678, ,5
  당기순이익(지배)＜당기＞,22.2,19.6,49.7,94.8,153.9,161.0, , 
  보통주수정평균발행주식수＜당기＞,"19,786,000","19,886,612","21,633,920","23,068,512","23,746,361","23,746,361", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,300","1,415","1,694","2,599","3,403","4,039", ,19
  자본총계(지배)＜당기＞,249.8,277.0,362.8,617.1,808.2,959.0, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"19,215,545","19,575,581","21,411,763","23,746,361","23,746,361","23,746,361", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,244,102,438,"1,184",800,775, ,-3
  영업활동현금흐름＜당기＞,48.3,20.2,94.8,273.2,190.0,151.0, , 
  보통주수정평균발행주식수＜당기＞,"19,786,000","19,886,612","21,633,920","23,068,512","23,746,361","23,746,361", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"2,950","3,674","3,528","3,780","4,065","4,513", ,11
  매출액＜당기＞,583.7,730.6,763.2,871.9,965.2,"1,071.7", , 
  보통주수정평균발행주식수＜당기＞,"19,786,000","19,886,612","21,633,920","23,068,512","23,746,361","23,746,361", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,24.03,38.91,23.93,26.39,16.51,14.32, ,-13.23
  보통주수정주가(기말)＜당기＞,"2,700","3,830","5,500","10,850","10,700","9,710", , 
  EPS＜당기＞,112,98,230,411,648,678, , 
펼치기 PBR,2.08,2.71,3.25,4.18,3.14,2.40, ,-23.52
  보통주수정주가(기말)＜당기＞,"2,700","3,830","5,500","10,850","10,700","9,710", , 
  BPS＜당기＞,"1,300","1,415","1,694","2,599","3,403","4,039", , 
펼치기 PCR,11.07,37.66,12.55,9.16,13.37,12.53, ,-6.31
  보통주수정주가(기말)＜당기＞,"2,700","3,830","5,500","10,850","10,700","9,710", , 
  CPS＜당기＞,244,102,438,"1,184",800,775, , 
펼치기 PSR,0.92,1.04,1.56,2.87,2.63,2.15, ,-18.27
  보통주수정주가(기말)＜당기＞,"2,700","3,830","5,500","10,850","10,700","9,710", , 
  SPS＜당기＞,"2,950","3,674","3,528","3,780","4,065","4,513", , 
펼치기 EV/EBITDA,5.80,8.23,8.74,13.44,9.52,10.04, ,5.41
  EV＜당기＞,346.2,712.8,"1,056.0","2,088.1","1,694.1","2,158.3", , 
  EBITDA＜당기＞,59.7,86.6,120.8,155.4,177.9,215.0, , 
펼치기 DPS,30,30,45,55,70,, , 
  현금DPS,30,30,45,55,70,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,1.11,0.78,0.82,0.51,0.65,0.82, ,0.17
  현금배당성향(%),25.16,29.13,18.86,13.77,10.80,11.80, ,1.00
