항목,2017/12,2018/12,2019/12,"2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"1,185",320,79,"-1,547","-1,100",,29, 
  당기순이익(지배)＜당기＞,58.6,17.4,5.0,-99.0,-70.9,, , 
  보통주수정평균발행주식수＜당기＞,"4,947,489","5,435,397","6,370,000","6,399,987","6,440,809","7,609,947", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"2,791","5,948","6,028","4,431","3,306",,-25, 
  자본총계(지배)＜당기＞,139.6,377.4,382.5,275.7,205.7,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"5,000,000","6,345,000","6,345,000","6,221,097","6,221,097","7,506,444", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"1,711","-2,421",237,"-1,776",587,,133, 
  영업활동현금흐름＜당기＞,84.7,-131.6,15.1,-113.6,37.8,, , 
  보통주수정평균발행주식수＜당기＞,"4,947,489","5,435,397","6,370,000","6,399,987","6,440,809","7,609,947", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"13,052","7,302","5,496","2,729","1,794",,-34, 
  매출액＜당기＞,645.8,396.9,350.1,174.7,115.5,, , 
  보통주수정평균발행주식수＜당기＞,"4,947,489","5,435,397","6,370,000","6,399,987","6,440,809","7,609,947", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,54.99,214.72,N/A,N/A,,-40.60, 
  보통주수정주가(기말)＜당기＞,,"17,600","17,000","9,210","9,210","9,210", , 
  EPS＜당기＞,"1,185",320,79,"-1,547","-1,100",, , 
펼치기 PBR,0.00,2.96,2.82,2.08,2.79,,34.02, 
  보통주수정주가(기말)＜당기＞,,"17,600","17,000","9,210","9,210","9,210", , 
  BPS＜당기＞,"2,791","5,948","6,028","4,431","3,306",, , 
펼치기 PCR,,-7.27,71.85,-5.19,15.68,,402.30, 
  보통주수정주가(기말)＜당기＞,,"17,600","17,000","9,210","9,210","9,210", , 
  CPS＜당기＞,"1,711","-2,421",237,"-1,776",587,, , 
펼치기 PSR,,2.41,3.09,3.37,5.13,,52.12, 
  보통주수정주가(기말)＜당기＞,,"17,600","17,000","9,210","9,210","9,210", , 
  SPS＜당기＞,"13,052","7,302","5,496","2,729","1,794",, , 
펼치기 EV/EBITDA,,43.80,86.84,-8.92,-11.34,,-27.23, 
  EV＜당기＞,,"1,223.6","1,184.9",790.0,765.8,, , 
  EBITDA＜당기＞,74.7,27.9,13.6,-88.6,-67.5,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
