항목,,,"2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,,-8,-3,,61, 
  당기순이익(지배)＜당기＞,,,,-0.2,-0.1,, , 
  보통주수정평균발행주식수＜당기＞,,,,"2,324,153","3,620,000","3,620,000", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 BPS,,,,"1,977","1,974",,-0, 
  자본총계(지배)＜당기＞,,,,71.6,71.4,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,,0,"3,620,000","3,620,000","3,620,000", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,,0,0,0,0, , 
펼치기 CPS,,,,-1,5,,670, 
  영업활동현금흐름＜당기＞,,,,-0.0,0.2,, , 
  보통주수정평균발행주식수＜당기＞,,,,"2,324,153","3,620,000","3,620,000", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 SPS,,,,0,0,, , 
  매출액＜당기＞,,,,0.0,0.0,, , 
  보통주수정평균발행주식수＜당기＞,,,,"2,324,153","3,620,000","3,620,000", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 PER,,,,N/A,N/A,,-168.49, 
  보통주수정주가(기말)＜당기＞,,,,"2,010","2,085","2,160", , 
  EPS＜당기＞,,,,-8,-3,, , 
펼치기 PBR,,,,1.02,1.06,,3.90, 
  보통주수정주가(기말)＜당기＞,,,,"2,010","2,085","2,160", , 
  BPS＜당기＞,,,,"1,977","1,974",, , 
펼치기 PCR,,,,"-2,294.62",417.74,,118.21, 
  보통주수정주가(기말)＜당기＞,,,,"2,010","2,085","2,160", , 
  CPS＜당기＞,,,,-1,5,, , 
펼치기 PSR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,"2,010","2,085","2,160", , 
  SPS＜당기＞,,,,0,0,, , 
펼치기 EV/EBITDA,,,,-216.62,-193.48,,10.68, 
  EV＜당기＞,,,,71.2,74.7,, , 
  EBITDA＜당기＞,,,,-0.3,-0.4,, , 
펼치기 DPS,,,,,,, , 
  현금DPS,,,,,,, , 
  주식DPS,,,,,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),,,,0.00,,, , 
