항목,2017/12,2018/12,"2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,812,438,-151,-618,"1,199",,294, 
  당기순이익(지배)＜당기＞,41.1,22.1,-7.6,-31.3,60.7,, , 
  보통주수정평균발행주식수＜당기＞,"5,060,000","5,060,000","5,060,000","5,060,000","5,060,000","5,060,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"6,285","6,357","6,500","5,737","7,478",,30, 
  자본총계(지배)＜당기＞,318.0,321.7,328.9,290.3,378.4,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"5,060,000","5,060,000","5,060,000","5,060,000","5,060,000",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,195,95,491,122,244,,101, 
  영업활동현금흐름＜당기＞,9.8,4.8,24.8,6.2,12.4,, , 
  보통주수정평균발행주식수＜당기＞,"5,060,000","5,060,000","5,060,000","5,060,000","5,060,000","5,060,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"5,222","4,969","4,796","5,121","6,223",,22, 
  매출액＜당기＞,264.2,251.4,242.7,259.1,314.9,, , 
  보통주수정평균발행주식수＜당기＞,"5,060,000","5,060,000","5,060,000","5,060,000","5,060,000","5,060,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,7.66,10.46,N/A,N/A,5.28,,154.76, 
  보통주수정주가(기말)＜당기＞,"6,220","4,575","4,595","5,960","6,330","6,520", , 
  EPS＜당기＞,812,438,-151,-618,"1,199",, , 
펼치기 PBR,0.99,0.72,0.71,1.04,0.85,,-18.52, 
  보통주수정주가(기말)＜당기＞,"6,220","4,575","4,595","5,960","6,330","6,520", , 
  BPS＜당기＞,"6,285","6,357","6,500","5,737","7,478",, , 
펼치기 PCR,31.98,48.06,9.36,49.04,25.92,,-47.14, 
  보통주수정주가(기말)＜당기＞,"6,220","4,575","4,595","5,960","6,330","6,520", , 
  CPS＜당기＞,195,95,491,122,244,, , 
펼치기 PSR,1.19,0.92,0.96,1.16,1.02,,-12.60, 
  보통주수정주가(기말)＜당기＞,"6,220","4,575","4,595","5,960","6,330","6,520", , 
  SPS＜당기＞,"5,222","4,969","4,796","5,121","6,223",, , 
펼치기 EV/EBITDA,18.45,18.50,27.90,30.96,28.82,,-6.91, 
  EV＜당기＞,554.0,437.8,361.6,484.6,559.4,, , 
  EBITDA＜당기＞,30.0,23.7,13.0,15.6,19.4,, , 
펼치기 DPS,50,50,,,,, , 
  현금DPS,50,50,,,,, , 
  주식DPS,0,,,,,, , 
  현금배당수익률,0.80,1.09,,,,, , 
  현금배당성향(%),6.16,11.43,0.00,0.00,,, , 
