항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-39,-73,65,-167,-242,,-45, 
  당기순이익(지배)＜당기＞,-9.5,-18.8,18.0,-55.7,-80.9,, , 
  보통주수정평균발행주식수＜당기＞,"24,613,919","25,655,700","27,639,764","33,433,750","33,433,750","35,117,810", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,670,703,832,646,387,,-40, 
  자본총계(지배)＜당기＞,164.9,187.1,276.3,210.6,126.3,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"24,613,919","26,627,591","33,197,422","32,597,778","32,597,778","34,925,440", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-102,-39,164,-56,-115,,-105, 
  영업활동현금흐름＜당기＞,-25.2,-9.9,45.4,-18.7,-38.4,, , 
  보통주수정평균발행주식수＜당기＞,"24,613,919","25,655,700","27,639,764","33,433,750","33,433,750","35,117,810", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"1,667","1,558","1,511","1,273","1,405",,10, 
  매출액＜당기＞,410.2,399.7,417.7,425.5,469.7,, , 
  보통주수정평균발행주식수＜당기＞,"24,613,919","25,655,700","27,639,764","33,433,750","33,433,750","35,117,810", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,18.70,N/A,N/A,,44.59, 
  보통주수정주가(기말)＜당기＞,"1,875","1,435","1,220","1,515","1,220","1,170", , 
  EPS＜당기＞,-39,-73,65,-167,-242,, , 
펼치기 PBR,2.80,2.04,1.47,2.34,3.15,,34.31, 
  보통주수정주가(기말)＜당기＞,"1,875","1,435","1,220","1,515","1,220","1,170", , 
  BPS＜당기＞,670,703,832,646,387,, , 
펼치기 PCR,-18.30,-37.07,7.43,-27.05,-10.63,,60.69, 
  보통주수정주가(기말)＜당기＞,"1,875","1,435","1,220","1,515","1,220","1,170", , 
  CPS＜당기＞,-102,-39,164,-56,-115,, , 
펼치기 PSR,1.13,0.92,0.81,1.19,0.87,,-27.05, 
  보통주수정주가(기말)＜당기＞,"1,875","1,435","1,220","1,515","1,220","1,170", , 
  SPS＜당기＞,"1,667","1,558","1,511","1,273","1,405",, , 
펼치기 EV/EBITDA,-659.36,31.91,15.21,-23.10,-75.01,,-224.73, 
  EV＜당기＞,466.6,351.2,352.6,540.4,515.8,, , 
  EBITDA＜당기＞,-0.7,11.0,23.2,-23.4,-6.9,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,0.00,,0.00, 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
