항목,2017/12,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,2,-55,-39,-25,-26,, , 
  당기순이익(지배)＜당기＞,1.7,-37.8,-27.3,-18.0,-20.4,, , 
  보통주수정평균발행주식수＜당기＞,"68,389,125","68,521,709","69,664,114","72,820,445","79,514,839","102,726,739", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,212,172,149,132,423,, , 
  자본총계(지배)＜당기＞,145.5,117.9,108.2,95.9,421.8,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"68,496,540","68,496,540","72,795,276","72,795,276","99,780,996","104,432,158", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-2,-1,25,-12,-25,, , 
  영업활동현금흐름＜당기＞,-1.5,-0.5,17.1,-8.6,-19.5,, , 
  보통주수정평균발행주식수＜당기＞,"68,389,125","68,521,709","69,664,114","72,820,445","79,514,839","102,726,739", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,135,132,162,130,260,, , 
  매출액＜당기＞,92.6,90.6,112.7,94.7,206.5,, , 
  보통주수정평균발행주식수＜당기＞,"68,389,125","68,521,709","69,664,114","72,820,445","79,514,839","102,726,739", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,188.31,N/A,N/A,N/A,N/A,, , 
  보통주수정주가(기말)＜당기＞,458,326,965,"1,893","1,200",937, , 
  EPS＜당기＞,2,-55,-39,-25,-26,, , 
펼치기 PBR,2.16,1.89,6.49,14.37,2.84,, , 
  보통주수정주가(기말)＜당기＞,458,326,965,"1,893","1,200",937, , 
  BPS＜당기＞,212,172,149,132,423,, , 
펼치기 PCR,-213.80,-472.93,39.29,-160.85,-48.93,, , 
  보통주수정주가(기말)＜당기＞,458,326,965,"1,893","1,200",937, , 
  CPS＜당기＞,-2,-1,25,-12,-25,, , 
펼치기 PSR,3.38,2.47,5.96,14.55,4.62,, , 
  보통주수정주가(기말)＜당기＞,458,326,965,"1,893","1,200",937, , 
  SPS＜당기＞,135,132,162,130,260,, , 
펼치기 EV/EBITDA,25.48,79.18,40.54,"-1,090.60",-86.43,, , 
  EV＜당기＞,273.9,200.5,639.1,"1,306.9",927.8,, , 
  EBITDA＜당기＞,10.7,2.5,15.8,-1.2,-10.7,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,0.00,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
