항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,71,79,-106,50,215,,334, 
  당기순이익(지배)＜당기＞,6.6,7.4,-9.9,4.6,20.7,, , 
  보통주수정평균발행주식수＜당기＞,"9,340,922","9,340,922","9,340,922","9,340,922","9,607,322","9,673,922", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,738","1,796","1,676","1,752","1,942",,11, 
  자본총계(지배)＜당기＞,162.4,167.8,156.5,163.7,187.9,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"9,340,922","9,340,922","9,340,922","9,340,922","9,673,922","9,673,922", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,-67,454,-238,101,353,,248, 
  영업활동현금흐름＜당기＞,-6.3,42.4,-22.2,9.5,33.9,, , 
  보통주수정평균발행주식수＜당기＞,"9,340,922","9,340,922","9,340,922","9,340,922","9,607,322","9,673,922", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"4,374","4,285","3,581","3,517","3,559",,1, 
  매출액＜당기＞,408.6,400.3,334.5,328.5,341.9,, , 
  보통주수정평균발행주식수＜당기＞,"9,340,922","9,340,922","9,340,922","9,340,922","9,607,322","9,673,922", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,51.17,35.45,N/A,93.62,30.19,,-67.76, 
  보통주수정주가(기말)＜당기＞,"3,640","2,815","3,450","4,650","6,500","6,120", , 
  EPS＜당기＞,71,79,-106,50,215,, , 
펼치기 PBR,2.09,1.57,2.06,2.65,3.35,,26.10, 
  보통주수정주가(기말)＜당기＞,"3,640","2,815","3,450","4,650","6,500","6,120", , 
  BPS＜당기＞,"1,738","1,796","1,676","1,752","1,942",, , 
펼치기 PCR,-54.08,6.21,-14.51,45.88,18.42,,-59.86, 
  보통주수정주가(기말)＜당기＞,"3,640","2,815","3,450","4,650","6,500","6,120", , 
  CPS＜당기＞,-67,454,-238,101,353,, , 
펼치기 PSR,0.83,0.66,0.96,1.32,1.83,,38.14, 
  보통주수정주가(기말)＜당기＞,"3,640","2,815","3,450","4,650","6,500","6,120", , 
  SPS＜당기＞,"4,374","4,285","3,581","3,517","3,559",, , 
펼치기 EV/EBITDA,24.66,13.96,17.28,25.33,26.85,,6.02, 
  EV＜당기＞,221.7,139.7,223.5,329.3,512.7,, , 
  EBITDA＜당기＞,9.0,10.0,12.9,13.0,19.1,, , 
펼치기 DPS,80,100,60,100,150,,50, 
  현금DPS,80,100,60,100,150,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,2.20,3.55,1.74,2.15,2.31,,0.16, 
  현금배당성향(%),112.46,125.94,-56.34,201.34,70.14,,-131.19, 
