항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,"2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-129,-220,-133,-82,4,, , 
  당기순이익(지배)＜당기＞,-30.6,-67.8,-59.3,-50.1,2.8,, , 
  보통주수정평균발행주식수＜당기＞,"23,822,551","30,862,058","44,633,783","61,206,307","73,479,025","79,279,766", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,334,264,287,342,373,, , 
  자본총계(지배)＜당기＞,96.5,104.0,163.2,236.0,291.3,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"28,902,122","39,456,342","56,821,162","69,111,364","78,155,673","79,626,260", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-29,49,-70,-141,-16,, , 
  영업활동현금흐름＜당기＞,-6.9,15.1,-31.4,-86.2,-11.5,, , 
  보통주수정평균발행주식수＜당기＞,"23,822,551","30,862,058","44,633,783","61,206,307","73,479,025","79,279,766", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,622,289,166,269,666,, , 
  매출액＜당기＞,148.3,89.2,73.9,164.4,489.4,, , 
  보통주수정평균발행주식수＜당기＞,"23,822,551","30,862,058","44,633,783","61,206,307","73,479,025","79,279,766", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,N/A,N/A,577.11,, , 
  보통주수정주가(기말)＜당기＞,"1,254",620,840,709,"2,210","1,645", , 
  EPS＜당기＞,-129,-220,-133,-82,4,, , 
펼치기 PBR,3.76,2.35,2.92,2.08,5.93,, , 
  보통주수정주가(기말)＜당기＞,"1,254",620,840,709,"2,210","1,645", , 
  BPS＜당기＞,334,264,287,342,373,, , 
펼치기 PCR,-43.43,12.63,-11.92,-5.03,-141.39,, , 
  보통주수정주가(기말)＜당기＞,"1,254",620,840,709,"2,210","1,645", , 
  CPS＜당기＞,-29,49,-70,-141,-16,, , 
펼치기 PSR,2.01,2.14,5.07,2.64,3.32,, , 
  보통주수정주가(기말)＜당기＞,"1,254",620,840,709,"2,210","1,645", , 
  SPS＜당기＞,622,289,166,269,666,, , 
펼치기 EV/EBITDA,251.80,-11.64,-40.43,-12.39,59.69,, , 
  EV＜당기＞,349.7,195.8,407.2,504.6,"1,721.3",, , 
  EBITDA＜당기＞,1.4,-16.8,-10.1,-40.7,28.8,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,0.00,0.00, ,0.00
  현금배당성향(%),0.00,0.00,0.00,0.00,0.00,, , 
