항목,2017/12,"2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"2,387","2,733","3,987","4,448","5,761",,30, 
  당기순이익(지배)＜당기＞,264.7,303.1,442.2,493.3,638.8,, , 
  보통주수정평균발행주식수＜당기＞,"11,090,000","11,090,000","11,090,000","11,090,000","11,090,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"41,007","42,101","45,701","49,448","54,880",,11, 
  자본총계(지배)＜당기＞,"3,925.2","4,316.2","4,685.2","5,069.4","5,626.2",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"9,571,945","10,251,945","10,251,945","10,251,945","10,251,945",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,"2,537","3,829","4,051","5,191","6,349",,22, 
  영업활동현금흐름＜당기＞,281.4,424.6,449.2,575.7,704.1,, , 
  보통주수정평균발행주식수＜당기＞,"11,090,000","11,090,000","11,090,000","11,090,000","11,090,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"18,583","22,091","25,017","26,104","31,233",,20, 
  매출액＜당기＞,"2,060.8","2,449.9","2,774.3","2,895.0","3,463.7",, , 
  보통주수정평균발행주식수＜당기＞,"11,090,000","11,090,000","11,090,000","11,090,000","11,090,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,16.38,8.56,8.77,8.57,7.47,,-12.76, 
  보통주수정주가(기말)＜당기＞,"39,100","23,400","34,950","38,100","43,050","41,800", , 
  EPS＜당기＞,"2,387","2,733","3,987","4,448","5,761",, , 
펼치기 PBR,0.95,0.56,0.76,0.77,0.78,,1.81, 
  보통주수정주가(기말)＜당기＞,"39,100","23,400","34,950","38,100","43,050","41,800", , 
  BPS＜당기＞,"41,007","42,101","45,701","49,448","54,880",, , 
펼치기 PCR,15.41,6.11,8.63,7.34,6.78,,-7.61, 
  보통주수정주가(기말)＜당기＞,"39,100","23,400","34,950","38,100","43,050","41,800", , 
  CPS＜당기＞,"2,537","3,829","4,051","5,191","6,349",, , 
펼치기 PSR,2.10,1.06,1.40,1.46,1.38,,-5.56, 
  보통주수정주가(기말)＜당기＞,"39,100","23,400","34,950","38,100","43,050","41,800", , 
  SPS＜당기＞,"18,583","22,091","25,017","26,104","31,233",, , 
펼치기 EV/EBITDA,11.06,5.18,6.41,6.78,4.72,,-30.44, 
  EV＜당기＞,"4,115.6","2,360.8","3,669.4","3,908.6","4,084.6",, , 
  EBITDA＜당기＞,372.0,456.2,572.7,576.1,865.5,, , 
펼치기 DPS,660,"1,000","1,100","1,100","1,330",,21, 
  현금DPS,660,"1,000","1,100","1,100","1,330",, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,1.69,4.27,3.15,2.89,3.09,,0.20, 
  현금배당성향(%),23.87,23.62,17.52,16.24,16.79,,0.54, 
