항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-967,-99,-260,-228,-192,,16, 
  당기순이익(지배)＜당기＞,-68.6,-14.5,-42.2,-45.4,-40.0,, , 
  보통주수정평균발행주식수＜당기＞,"6,487,120","14,613,311","16,262,078","19,941,622","20,777,582","21,389,160", , 
  우선주수정평균발행주식수＜당기＞,"605,204",0,0,0,0,0, , 
펼치기 BPS,357,458,357,594,461,,-22, 
  자본총계(지배)＜당기＞,49.2,71.3,59.8,120.9,98.7,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"13,760,160","15,560,160","16,760,160","20,365,160","21,389,160","21,389,160", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-235,-172,-170,-227,-107,,53, 
  영업활동현금흐름＜당기＞,-16.7,-25.1,-27.7,-45.3,-22.2,, , 
  보통주수정평균발행주식수＜당기＞,"6,487,120","14,613,311","16,262,078","19,941,622","20,777,582","21,389,160", , 
  우선주수정평균발행주식수＜당기＞,"605,204",0,0,0,0,0, , 
펼치기 SPS,700,332,87,70,55,,-22, 
  매출액＜당기＞,49.6,48.5,14.1,14.0,11.4,, , 
  보통주수정평균발행주식수＜당기＞,"6,487,120","14,613,311","16,262,078","19,941,622","20,777,582","21,389,160", , 
  우선주수정평균발행주식수＜당기＞,"605,204",0,0,0,0,0, , 
펼치기 PER,,,,N/A,N/A,,-21.61, 
  보통주수정주가(기말)＜당기＞,,,,"3,705","3,805","2,990", , 
  EPS＜당기＞,-967,-99,-260,-228,-192,, , 
펼치기 PBR,0.00,0.00,0.00,6.24,8.25,,32.16, 
  보통주수정주가(기말)＜당기＞,,,,"3,705","3,805","2,990", , 
  BPS＜당기＞,357,458,357,594,461,, , 
펼치기 PCR,,,,-16.31,-35.56,,-118.04, 
  보통주수정주가(기말)＜당기＞,,,,"3,705","3,805","2,990", , 
  CPS＜당기＞,-235,-172,-170,-227,-107,, , 
펼치기 PSR,,,,52.61,69.52,,32.16, 
  보통주수정주가(기말)＜당기＞,,,,"3,705","3,805","2,990", , 
  SPS＜당기＞,700,332,87,70,55,, , 
펼치기 EV/EBITDA,,,,-17.34,-25.77,,-48.56, 
  EV＜당기＞,,,,729.6,775.5,, , 
  EBITDA＜당기＞,-7.9,-9.8,-39.4,-42.1,-30.1,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
