항목,"2017/12
(GAAP개별)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"1,228",898,885,"1,299",-653,904,-150,238
  당기순이익(지배)＜당기＞,92.1,67.4,66.4,97.4,-59.1,90.5, , 
  보통주수정평균발행주식수＜당기＞,"7,500,000","7,500,000","7,500,000","7,500,000","9,046,076","10,013,941", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"3,055","3,701","4,500","5,389","11,794","3,221",119,-73
  자본총계(지배)＜당기＞,229.1,277.6,337.5,404.2,"1,179.1",322.0, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"7,500,000","7,500,000","7,500,000","7,500,000","9,997,104","9,997,104", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"1,223",414,"1,991","2,525",422,,-83, 
  영업활동현금흐름＜당기＞,91.8,31.1,149.3,189.4,38.2,91.0, , 
  보통주수정평균발행주식수＜당기＞,"7,500,000","7,500,000","7,500,000","7,500,000","9,046,076","10,013,941", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"6,680","9,260","10,880","11,948","10,092","10,745",-16,6
  매출액＜당기＞,501.0,694.5,816.0,896.1,912.9,"1,076.0", , 
  보통주수정평균발행주식수＜당기＞,"7,500,000","7,500,000","7,500,000","7,500,000","9,046,076","10,013,941", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,,,N/A,23.62, ,184.12
  보통주수정주가(기말)＜당기＞,,,,,"18,350","21,350", , 
  EPS＜당기＞,"1,228",898,885,"1,299",-653,904, , 
펼치기 PBR,0.00,0.00,0.00,0.00,1.56,6.63, ,326.04
  보통주수정주가(기말)＜당기＞,,,,,"18,350","21,350", , 
  BPS＜당기＞,"3,055","3,701","4,500","5,389","11,794","3,221", , 
펼치기 PCR,,,,,43.45,, , 
  보통주수정주가(기말)＜당기＞,,,,,"18,350","21,350", , 
  CPS＜당기＞,"1,223",414,"1,991","2,525",422,, , 
펼치기 PSR,,,,,1.82,1.99, ,9.28
  보통주수정주가(기말)＜당기＞,,,,,"18,350","21,350", , 
  SPS＜당기＞,"6,680","9,260","10,880","11,948","10,092","10,745", , 
펼치기 EV/EBITDA,,,,,22.41,, , 
  EV＜당기＞,,,,,"1,569.8","2,695.0", , 
  EBITDA＜당기＞,133.2,109.4,128.9,178.2,70.1,, , 
펼치기 DPS,267,200,240,261,,, , 
  현금DPS,267,200,240,261,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,,,,1.22, , 
  현금배당성향(%),21.72,22.26,27.12,20.11,,28.88, , 
