항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,137,139,406,348,"1,097",,216, 
  당기순이익(지배)＜당기＞,26.3,27.2,79.3,67.9,214.4,, , 
  보통주수정평균발행주식수＜당기＞,"19,272,642","19,543,877","19,543,877","19,543,877",,, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,,, , 
펼치기 BPS,"1,763","1,659","2,050","2,441","3,765",,54, 
  자본총계(지배)＜당기＞,344.5,324.2,400.7,463.9,735.8,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"19,543,877","19,543,877","19,543,877","19,008,877","19,543,877","19,543,877", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,341,88,406,635,857,,35, 
  영업활동현금흐름＜당기＞,65.8,17.3,79.4,124.1,167.6,, , 
  보통주수정평균발행주식수＜당기＞,"19,272,642","19,543,877","19,543,877","19,543,877",,, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,,, , 
펼치기 SPS,"1,429","1,388","1,925","2,169","2,850",,31, 
  매출액＜당기＞,275.4,271.2,376.3,423.9,557.1,, , 
  보통주수정평균발행주식수＜당기＞,"19,272,642","19,543,877","19,543,877","19,543,877",,, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,,, , 
펼치기 PER,34.23,21.31,8.47,15.31,11.12,,-27.34, 
  보통주수정주가(기말)＜당기＞,"4,675","2,970","3,440","5,320","12,200","9,190", , 
  EPS＜당기＞,137,139,406,348,"1,097",, , 
펼치기 PBR,2.65,1.79,1.68,2.18,3.24,,48.66, 
  보통주수정주가(기말)＜당기＞,"4,675","2,970","3,440","5,320","12,200","9,190", , 
  BPS＜당기＞,"1,763","1,659","2,050","2,441","3,765",, , 
펼치기 PCR,13.70,33.61,8.46,8.38,14.23,,69.81, 
  보통주수정주가(기말)＜당기＞,"4,675","2,970","3,440","5,320","12,200","9,190", , 
  CPS＜당기＞,341,88,406,635,857,, , 
펼치기 PSR,3.27,2.14,1.79,2.45,4.28,,74.52, 
  보통주수정주가(기말)＜당기＞,"4,675","2,970","3,440","5,320","12,200","9,190", , 
  SPS＜당기＞,"1,429","1,388","1,925","2,169","2,850",, , 
펼치기 EV/EBITDA,13.39,9.17,5.61,6.51,9.65,,48.38, 
  EV＜당기＞,850.1,523.3,548.5,833.2,"1,941.3",, , 
  EBITDA＜당기＞,63.5,57.1,97.8,128.1,201.1,, , 
펼치기 DPS,,,,,,, , 
  현금DPS,,,,,,, , 
  주식DPS,,,,,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
