항목,2017/12,"2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-666,-160,-2,-173,-102,,41, 
  당기순이익(지배)＜당기＞,-259.3,-62.3,-0.9,-67.6,-39.7,, , 
  보통주수정평균발행주식수＜당기＞,"38,955,668","38,955,668","38,955,668","38,955,668","38,964,335","39,013,649", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,681,537,581,404,308,,-24, 
  자본총계(지배)＜당기＞,265.5,209.1,226.3,157.5,120.2,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"38,955,558","38,955,558","38,955,558","38,955,558","39,013,539","39,013,539", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,51,115,164,-19,-140,,-635, 
  영업활동현금흐름＜당기＞,20.0,45.0,63.7,-7.4,-54.4,, , 
  보통주수정평균발행주식수＜당기＞,"38,955,668","38,955,668","38,955,668","38,955,668","38,964,335","39,013,649", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"2,914","2,792","2,621","1,724","1,682",,-2, 
  매출액＜당기＞,"1,135.3","1,087.6","1,021.0",671.5,655.4,, , 
  보통주수정평균발행주식수＜당기＞,"38,955,668","38,955,668","38,955,668","38,955,668","38,964,335","39,013,649", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,N/A,N/A,N/A,,-140.28, 
  보통주수정주가(기말)＜당기＞,"1,165",677,600,"1,130","1,595","1,040", , 
  EPS＜당기＞,-666,-160,-2,-173,-102,, , 
펼치기 PBR,1.71,1.26,1.03,2.79,5.18,,85.30, 
  보통주수정주가(기말)＜당기＞,"1,165",677,600,"1,130","1,595","1,040", , 
  BPS＜당기＞,681,537,581,404,308,, , 
펼치기 PCR,22.66,5.86,3.67,-59.46,-11.42,,80.80, 
  보통주수정주가(기말)＜당기＞,"1,165",677,600,"1,130","1,595","1,040", , 
  CPS＜당기＞,51,115,164,-19,-140,, , 
펼치기 PSR,0.40,0.24,0.23,0.66,0.95,,44.65, 
  보통주수정주가(기말)＜당기＞,"1,165",677,600,"1,130","1,595","1,040", , 
  SPS＜당기＞,"2,914","2,792","2,621","1,724","1,682",, , 
펼치기 EV/EBITDA,-11.35,36.70,16.86,-14.60,-42.03,,-187.79, 
  EV＜당기＞,684.7,423.1,370.0,582.8,762.9,, , 
  EBITDA＜당기＞,-60.3,11.5,21.9,-39.9,-18.2,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
