항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"-1,174",-443,-176,57,384,,578, 
  당기순이익(지배)＜당기＞,-83.0,-31.3,-12.5,4.0,27.1,, , 
  보통주수정평균발행주식수＜당기＞,"7,070,860","7,070,860","7,070,860","7,070,860",,, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,,, , 
펼치기 BPS,"4,723","4,278","4,089","4,156","4,524",,9, 
  자본총계(지배)＜당기＞,331.7,300.4,287.1,291.8,317.6,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"7,021,660","7,021,660","7,021,660","7,021,660","7,021,660",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,-40,-11,217,570,627,,10, 
  영업활동현금흐름＜당기＞,-2.8,-0.8,15.4,40.3,44.3,, , 
  보통주수정평균발행주식수＜당기＞,"7,070,860","7,070,860","7,070,860","7,070,860",,, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,,, , 
펼치기 SPS,"3,468","3,636","4,107","4,118","4,992",,21, 
  매출액＜당기＞,245.2,257.1,290.4,291.2,353.0,, , 
  보통주수정평균발행주식수＜당기＞,"7,070,860","7,070,860","7,070,860","7,070,860",,, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,,, , 
펼치기 PER,N/A,N/A,N/A,77.76,19.32,,-75.15, 
  보통주수정주가(기말)＜당기＞,"7,500","6,560","5,420","4,400","7,410","7,300", , 
  EPS＜당기＞,"-1,174",-443,-176,57,384,, , 
펼치기 PBR,1.59,1.53,1.33,1.06,1.64,,54.72, 
  보통주수정주가(기말)＜당기＞,"7,500","6,560","5,420","4,400","7,410","7,300", , 
  BPS＜당기＞,"4,723","4,278","4,089","4,156","4,524",, , 
펼치기 PCR,-187.03,-596.37,24.95,7.72,11.82,,53.16, 
  보통주수정주가(기말)＜당기＞,"7,500","6,560","5,420","4,400","7,410","7,300", , 
  CPS＜당기＞,-40,-11,217,570,627,, , 
펼치기 PSR,2.16,1.80,1.32,1.07,1.48,,38.93, 
  보통주수정주가(기말)＜당기＞,"7,500","6,560","5,420","4,400","7,410","7,300", , 
  SPS＜당기＞,"3,468","3,636","4,107","4,118","4,992",, , 
펼치기 EV/EBITDA,108.58,265.00,20.94,6.31,10.87,,72.27, 
  EV＜당기＞,566.7,503.6,411.4,326.4,554.7,, , 
  EBITDA＜당기＞,5.2,1.9,19.6,51.7,51.0,, , 
펼치기 DPS,,,,,,, , 
  현금DPS,,,,,,, , 
  주식DPS,,,,,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
