항목,,,,"2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,,,-13,, , 
  당기순이익(지배)＜당기＞,,,,,-0.2,, , 
  보통주수정평균발행주식수＜당기＞,,,,,"1,883,562","4,160,000", , 
  우선주수정평균발행주식수＜당기＞,,,,,0,0, , 
펼치기 BPS,,,,,"1,884",, , 
  자본총계(지배)＜당기＞,,,,,78.4,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,,,0,"4,160,000","4,160,000", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,,,0,0,0, , 
펼치기 CPS,,,,,-16,, , 
  영업활동현금흐름＜당기＞,,,,,-0.3,, , 
  보통주수정평균발행주식수＜당기＞,,,,,"1,883,562","4,160,000", , 
  우선주수정평균발행주식수＜당기＞,,,,,0,0, , 
펼치기 SPS,,,,,0,, , 
  매출액＜당기＞,,,,,0.0,, , 
  보통주수정평균발행주식수＜당기＞,,,,,"1,883,562","4,160,000", , 
  우선주수정평균발행주식수＜당기＞,,,,,0,0, , 
펼치기 PER,,,,,N/A,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,335","2,300", , 
  EPS＜당기＞,,,,,-13,, , 
펼치기 PBR,,,,,1.24,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,335","2,300", , 
  BPS＜당기＞,,,,,"1,884",, , 
펼치기 PCR,,,,,-142.54,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,335","2,300", , 
  CPS＜당기＞,,,,,-16,, , 
펼치기 PSR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,335","2,300", , 
  SPS＜당기＞,,,,,0,, , 
펼치기 EV/EBITDA,,,,,-288.70,, , 
  EV＜당기＞,,,,,93.7,, , 
  EBITDA＜당기＞,,,,,-0.3,, , 
펼치기 DPS,,,,,,, , 
  현금DPS,,,,,,, , 
  주식DPS,,,,,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),,,,,,, , 
