항목,"2017/12
(GAAP개별)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-219,"-1,557",-990,-905,"-1,692",-361,-87,79
  당기순이익(지배)＜당기＞,-12.1,-94.7,-75.7,-93.4,-196.5,-43.0, , 
  보통주수정평균발행주식수＜당기＞,"4,066,660","4,066,660","5,356,675","8,813,772","11,325,277","11,907,214", , 
  우선주수정평균발행주식수＜당기＞,"1,484,510","2,019,750","2,287,609","1,502,273","283,562",0, , 
펼치기 BPS,"2,497","-2,161","3,679","3,496","2,169",,-38, 
  자본총계(지배)＜당기＞,151.9,-131.5,336.8,372.4,255.6,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"4,066,660","4,066,660","7,642,484","9,152,689","11,784,088","11,930,476", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"2,019,750","2,019,750","1,513,000","1,500,000",0,0, , 
펼치기 CPS,-228,"-1,475",-2,"-1,008",-720,,29, 
  영업활동현금흐름＜당기＞,-12.6,-89.8,-0.1,-104.0,-83.6,, , 
  보통주수정평균발행주식수＜당기＞,"4,066,660","4,066,660","5,356,675","8,813,772","11,325,277","11,907,214", , 
  우선주수정평균발행주식수＜당기＞,"1,484,510","2,019,750","2,287,609","1,502,273","283,562",0, , 
펼치기 SPS,"1,257","4,754","6,057","3,068","4,710","6,416",54,36
  매출액＜당기＞,69.8,289.4,463.0,316.5,546.8,764.0, , 
  보통주수정평균발행주식수＜당기＞,"4,066,660","4,066,660","5,356,675","8,813,772","11,325,277","11,907,214", , 
  우선주수정평균발행주식수＜당기＞,"1,484,510","2,019,750","2,287,609","1,502,273","283,562",0, , 
펼치기 PER,,,,N/A,N/A,N/A,13.16,-456.27
  보통주수정주가(기말)＜당기＞,,,,"8,070","13,100","15,550", , 
  EPS＜당기＞,-219,"-1,557",-990,-905,"-1,692",-361, , 
펼치기 PBR,0.00,0.00,0.00,2.31,6.04,,161.58, 
  보통주수정주가(기말)＜당기＞,,,,"8,070","13,100","15,550", , 
  BPS＜당기＞,"2,497","-2,161","3,679","3,496","2,169",, , 
펼치기 PCR,,,,-8.01,-18.19,,-127.17, 
  보통주수정주가(기말)＜당기＞,,,,"8,070","13,100","15,550", , 
  CPS＜당기＞,-228,"-1,475",-2,"-1,008",-720,, , 
펼치기 PSR,,,,2.63,2.78,2.42,5.72,-12.86
  보통주수정주가(기말)＜당기＞,,,,"8,070","13,100","15,550", , 
  SPS＜당기＞,"1,257","4,754","6,057","3,068","4,710","6,416", , 
펼치기 EV/EBITDA,,,,-26.40,-19.08,,27.72, 
  EV＜당기＞,,,,"1,059.8","1,826.2",, , 
  EBITDA＜당기＞,2.7,9.3,39.4,-40.1,-95.7,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,,0.00,,, , 
  현금배당성향(%),,0.00,0.00,0.00,,, , 
