항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,257,143,99,"3,083",40,,-99, 
  당기순이익(지배)＜당기＞,16.0,8.9,6.2,192.0,2.5,, , 
  보통주수정평균발행주식수＜당기＞,"6,227,130","6,227,130","6,227,130","6,227,130","6,227,130",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"9,732","9,747","9,717","13,895","13,455",,-3, 
  자본총계(지배)＜당기＞,451.9,452.6,451.2,616.1,596.6,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"4,643,680","4,643,680","4,643,680","4,433,835","4,433,835","4,433,835", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,295,338,158,400,-702,,-275, 
  영업활동현금흐름＜당기＞,18.4,21.0,9.8,24.9,-43.7,, , 
  보통주수정평균발행주식수＜당기＞,"6,227,130","6,227,130","6,227,130","6,227,130","6,227,130",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"11,373","12,226","10,551","8,602","9,750",,13, 
  매출액＜당기＞,708.2,761.3,657.0,535.6,607.1,, , 
  보통주수정평균발행주식수＜당기＞,"6,227,130","6,227,130","6,227,130","6,227,130","6,227,130",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,22.85,46.88,81.87,3.00,434.61,,"14,371.76", 
  보통주수정주가(기말)＜당기＞,"5,860","6,700","8,090","9,260","17,550","30,050", , 
  EPS＜당기＞,257,143,99,"3,083",40,, , 
펼치기 PBR,0.60,0.69,0.83,0.67,1.30,,95.72, 
  보통주수정주가(기말)＜당기＞,"5,860","6,700","8,090","9,260","17,550","30,050", , 
  BPS＜당기＞,"9,732","9,747","9,717","13,895","13,455",, , 
펼치기 PCR,19.85,19.84,51.24,23.14,-25.01,,-208.08, 
  보통주수정주가(기말)＜당기＞,"5,860","6,700","8,090","9,260","17,550","30,050", , 
  CPS＜당기＞,295,338,158,400,-702,, , 
펼치기 PSR,0.52,0.55,0.77,1.08,1.80,,67.21, 
  보통주수정주가(기말)＜당기＞,"5,860","6,700","8,090","9,260","17,550","30,050", , 
  SPS＜당기＞,"11,373","12,226","10,551","8,602","9,750",, , 
펼치기 EV/EBITDA,27.82,21.21,24.27,21.83,59.43,,172.17, 
  EV＜당기＞,478.4,518.8,638.0,400.5,995.9,, , 
  EBITDA＜당기＞,17.2,24.5,26.3,18.3,16.8,, , 
펼치기 DPS,176,160,160,480,320,,-33, 
  현금DPS,176,160,160,480,320,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,3.00,2.39,1.98,5.18,1.82,,-3.36, 
  현금배당성향(%),51.17,83.48,120.75,11.08,564.24,,553.16, 
