항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,102,157,71,116,193,,66, 
  당기순이익(지배)＜당기＞,8.5,13.1,6.0,9.7,16.1,, , 
  보통주수정평균발행주식수＜당기＞,"8,361,386","8,361,386","8,361,386","8,361,386","8,361,386","8,361,386", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"3,178","3,453","3,693","3,824","4,208",,10, 
  자본총계(지배)＜당기＞,241.0,263.9,286.0,296.2,330.6,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"7,584,465","7,644,465","7,744,465","7,744,465","7,855,438","7,855,438", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,121,-154,245,195,-176,,-190, 
  영업활동현금흐름＜당기＞,10.2,-12.9,20.4,16.3,-14.7,, , 
  보통주수정평균발행주식수＜당기＞,"8,361,386","8,361,386","8,361,386","8,361,386","8,361,386","8,361,386", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"2,575","2,984","2,798","2,830","3,687",,30, 
  매출액＜당기＞,215.3,249.5,234.0,236.6,308.3,, , 
  보통주수정평균발행주식수＜당기＞,"8,361,386","8,361,386","8,361,386","8,361,386","8,361,386","8,361,386", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,43.05,101.46,174.61,80.16,50.46,,-37.05, 
  보통주수정주가(기말)＜당기＞,"4,385","15,943","12,479","9,290","9,720","9,730", , 
  EPS＜당기＞,102,157,71,116,193,, , 
펼치기 PBR,1.38,4.62,3.38,2.43,2.31,,-4.92, 
  보통주수정주가(기말)＜당기＞,"4,385","15,943","12,479","9,290","9,720","9,730", , 
  BPS＜당기＞,"3,178","3,453","3,693","3,824","4,208",, , 
펼치기 PCR,36.10,-103.64,51.04,47.55,-55.28,,-216.25, 
  보통주수정주가(기말)＜당기＞,"4,385","15,943","12,479","9,290","9,720","9,730", , 
  CPS＜당기＞,121,-154,245,195,-176,, , 
펼치기 PSR,1.70,5.34,4.46,3.28,2.64,,-19.70, 
  보통주수정주가(기말)＜당기＞,"4,385","15,943","12,479","9,290","9,720","9,730", , 
  SPS＜당기＞,"2,575","2,984","2,798","2,830","3,687",, , 
펼치기 EV/EBITDA,22.84,91.93,66.87,58.26,64.82,,11.27, 
  EV＜당기＞,318.0,"1,283.1",949.8,671.2,738.7,, , 
  EBITDA＜당기＞,13.9,14.0,14.2,11.5,11.4,, , 
펼치기 DPS,24,24,24,0,30,, , 
  현금DPS,24,24,24,0,30,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.54,0.15,0.19,0.00,0.31,,0.31, 
  현금배당성향(%),20.42,13.37,29.91,0.00,14.63,,14.63, 
