항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,440,278,693,557,-110,,-120, 
  당기순이익(지배)＜당기＞,32.3,23.4,61.0,57.1,-11.3,, , 
  보통주수정평균발행주식수＜당기＞,"6,995,204","8,411,445","8,799,877","10,260,539","10,334,897","11,926,511", , 
  우선주수정평균발행주식수＜당기＞,"355,479",0,0,0,0,, , 
펼치기 BPS,"3,175","3,481","4,781","5,372","5,827",,8, 
  자본총계(지배)＜당기＞,217.2,277.1,452.4,514.6,558.2,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"6,840,000","7,960,000","9,461,400","9,580,400","9,580,400","13,500,000", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,883,270,962,-648,804,,224, 
  영업활동현금흐름＜당기＞,64.9,22.7,84.6,-66.5,83.0,, , 
  보통주수정평균발행주식수＜당기＞,"6,995,204","8,411,445","8,799,877","10,260,539","10,334,897","11,926,511", , 
  우선주수정평균발행주식수＜당기＞,"355,479",0,0,0,0,, , 
펼치기 SPS,"6,852","7,699","11,656","10,089","9,246",,-8, 
  매출액＜당기＞,503.6,647.6,"1,025.7","1,035.2",955.6,, , 
  보통주수정평균발행주식수＜당기＞,"6,995,204","8,411,445","8,799,877","10,260,539","10,334,897","11,926,511", , 
  우선주수정평균발행주식수＜당기＞,"355,479",0,0,0,0,, , 
펼치기 PER,,,11.37,56.49,N/A,,-373.01, 
  보통주수정주가(기말)＜당기＞,,,"7,877","31,451","16,931","12,650", , 
  EPS＜당기＞,440,278,693,557,-110,, , 
펼치기 PBR,0.00,0.00,1.78,6.31,3.13,,-50.37, 
  보통주수정주가(기말)＜당기＞,,,"7,877","31,451","16,931","12,650", , 
  BPS＜당기＞,"3,175","3,481","4,781","5,372","5,827",, , 
펼치기 PCR,,,8.19,-48.53,21.07,,143.42, 
  보통주수정주가(기말)＜당기＞,,,"7,877","31,451","16,931","12,650", , 
  CPS＜당기＞,883,270,962,-648,804,, , 
펼치기 PSR,,,0.68,3.12,1.83,,-41.26, 
  보통주수정주가(기말)＜당기＞,,,"7,877","31,451","16,931","12,650", , 
  SPS＜당기＞,"6,852","7,699","11,656","10,089","9,246",, , 
펼치기 EV/EBITDA,,,8.18,28.23,49.51,,75.38, 
  EV＜당기＞,,,"1,030.2","3,644.9","2,258.3",, , 
  EBITDA＜당기＞,71.6,52.3,125.9,129.1,45.6,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,,,0.00,0.00,0.00,,0.00, 
  현금배당성향(%),0.00,,0.00,0.00,,, , 
