항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,734,277,311,805,"1,325",,65, 
  당기순이익(지배)＜당기＞,55.1,22.4,29.4,76.3,126.4,, , 
  보통주수정평균발행주식수＜당기＞,"7,505,000","8,062,329","9,480,000","9,480,000","9,535,011","9,577,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"6,658","7,262","7,453","8,121","9,232",,14, 
  자본총계(지배)＜당기＞,499.7,686.1,704.2,767.3,874.7,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"7,505,000","9,448,400","9,448,400","9,448,400","9,474,024","9,421,919", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-267,-304,602,"-1,131","-1,437",,-27, 
  영업활동현금흐름＜당기＞,-20.0,-24.5,57.0,-107.2,-137.0,, , 
  보통주수정평균발행주식수＜당기＞,"7,505,000","8,062,329","9,480,000","9,480,000","9,535,011","9,577,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"1,833",897,955,"1,739","3,220",,85, 
  매출액＜당기＞,137.5,72.3,90.5,164.8,307.0,, , 
  보통주수정평균발행주식수＜당기＞,"7,505,000","8,062,329","9,480,000","9,480,000","9,535,011","9,577,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,15.03,14.73,9.02,7.70,,-14.70, 
  보통주수정주가(기말)＜당기＞,,"4,170","4,575","7,260","10,200","10,100", , 
  EPS＜당기＞,734,277,311,805,"1,325",, , 
펼치기 PBR,0.00,0.57,0.61,0.89,1.10,,23.58, 
  보통주수정주가(기말)＜당기＞,,"4,170","4,575","7,260","10,200","10,100", , 
  BPS＜당기＞,"6,658","7,262","7,453","8,121","9,232",, , 
펼치기 PCR,,-13.73,7.60,-6.42,-7.10,,-10.57, 
  보통주수정주가(기말)＜당기＞,,"4,170","4,575","7,260","10,200","10,100", , 
  CPS＜당기＞,-267,-304,602,"-1,131","-1,437",, , 
펼치기 PSR,,4.65,4.79,4.18,3.17,,-24.13, 
  보통주수정주가(기말)＜당기＞,,"4,170","4,575","7,260","10,200","10,100", , 
  SPS＜당기＞,"1,833",897,955,"1,739","3,220",, , 
펼치기 EV/EBITDA,,8.28,4.97,5.88,5.91,,0.46, 
  EV＜당기＞,,243.5,201.6,604.4,976.4,, , 
  EBITDA＜당기＞,71.3,29.4,40.5,102.8,165.2,, , 
펼치기 DPS,0,150,150,150,150,,0, 
  현금DPS,0,150,150,150,150,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,3.60,3.28,2.07,1.47,,-0.60, 
  현금배당성향(%),0.00,63.38,48.13,18.58,11.25,,-7.34, 
