항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,510,"-2,471","-2,050","1,009","4,035",,300, 
  당기순이익(지배)＜당기＞,15.3,-74.1,-61.5,30.3,121.1,, , 
  보통주수정평균발행주식수＜당기＞,"3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"30,234","29,055","27,126","27,608","31,434",,14, 
  자본총계(지배)＜당기＞,907.0,871.6,813.8,828.2,943.0,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"3,000,000","3,000,000","3,000,000","3,000,000","3,000,000",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,"-3,796","-5,270","1,780","8,577","10,974",,28, 
  영업활동현금흐름＜당기＞,-113.9,-158.1,53.4,257.3,329.2,, , 
  보통주수정평균발행주식수＜당기＞,"3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"49,495","50,277","55,537","70,753","87,412",,24, 
  매출액＜당기＞,"1,484.8","1,508.3","1,666.1","2,122.6","2,622.4",, , 
  보통주수정평균발행주식수＜당기＞,"3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,23.43,N/A,N/A,14.67,4.46,,-69.59, 
  보통주수정주가(기말)＜당기＞,"11,950","18,050","19,750","14,800","18,000","20,800", , 
  EPS＜당기＞,510,"-2,471","-2,050","1,009","4,035",, , 
펼치기 PBR,0.40,0.62,0.73,0.54,0.57,,6.82, 
  보통주수정주가(기말)＜당기＞,"11,950","18,050","19,750","14,800","18,000","20,800", , 
  BPS＜당기＞,"30,234","29,055","27,126","27,608","31,434",, , 
펼치기 PCR,-3.15,-3.42,11.10,1.73,1.64,,-4.94, 
  보통주수정주가(기말)＜당기＞,"11,950","18,050","19,750","14,800","18,000","20,800", , 
  CPS＜당기＞,"-3,796","-5,270","1,780","8,577","10,974",, , 
펼치기 PSR,0.24,0.36,0.36,0.21,0.21,,-1.56, 
  보통주수정주가(기말)＜당기＞,"11,950","18,050","19,750","14,800","18,000","20,800", , 
  SPS＜당기＞,"49,495","50,277","55,537","70,753","87,412",, , 
펼치기 EV/EBITDA,-0.65,-5.01,-5.25,1.27,0.43,,-66.59, 
  EV＜당기＞,-9.6,358.2,405.2,61.0,45.2,, , 
  EBITDA＜당기＞,14.9,-71.5,-77.2,47.9,106.3,, , 
펼치기 DPS,200,0,0,500,750,,50, 
  현금DPS,200,0,0,500,750,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,1.67,0.00,0.00,3.38,4.17,,0.79, 
  현금배당성향(%),39.22,0.00,0.00,49.56,18.59,,-30.97, 
