항목,"2017/12
(GAAP개별)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"1,375","1,276","1,472","1,473","1,162",,-21, 
  당기순이익(지배)＜당기＞,132.0,122.5,141.3,143.9,129.1,, , 
  보통주수정평균발행주식수＜당기＞,"9,600,000","9,600,000","9,600,000","9,773,279","11,110,000","11,110,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"4,218","5,271","6,617","9,284","10,446",,13, 
  자본총계(지배)＜당기＞,405.0,506.0,635.3,"1,031.4","1,160.5",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"9,600,000","9,600,000","9,600,000","11,110,000","11,110,000","11,110,000", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,984,"1,838","1,137","1,514","1,334",,-12, 
  영업활동현금흐름＜당기＞,94.5,176.5,109.2,147.9,148.2,, , 
  보통주수정평균발행주식수＜당기＞,"9,600,000","9,600,000","9,600,000","9,773,279","11,110,000","11,110,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"12,731","13,361","15,224","15,485","13,252",,-14, 
  매출액＜당기＞,"1,222.2","1,282.7","1,461.5","1,513.4","1,472.3",, , 
  보통주수정평균발행주식수＜당기＞,"9,600,000","9,600,000","9,600,000","9,773,279","11,110,000","11,110,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,,18.06,15.71,,-13.04, 
  보통주수정주가(기말)＜당기＞,,,,"26,600","18,250","13,950", , 
  EPS＜당기＞,"1,375","1,276","1,472","1,473","1,162",, , 
펼치기 PBR,0.00,0.00,0.00,2.87,1.75,,-39.02, 
  보통주수정주가(기말)＜당기＞,,,,"26,600","18,250","13,950", , 
  BPS＜당기＞,"4,218","5,271","6,617","9,284","10,446",, , 
펼치기 PCR,,,,17.57,13.68,,-22.15, 
  보통주수정주가(기말)＜당기＞,,,,"26,600","18,250","13,950", , 
  CPS＜당기＞,984,"1,838","1,137","1,514","1,334",, , 
펼치기 PSR,,,,1.72,1.38,,-19.83, 
  보통주수정주가(기말)＜당기＞,,,,"26,600","18,250","13,950", , 
  SPS＜당기＞,"12,731","13,361","15,224","15,485","13,252",, , 
펼치기 EV/EBITDA,,,,12.97,11.91,,-8.16, 
  EV＜당기＞,,,,"2,829.6","1,890.3",, , 
  EBITDA＜당기＞,197.5,163.0,189.9,218.1,158.7,, , 
펼치기 DPS,365,0,125,0,300,, , 
  현금DPS,365,0,125,0,300,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,,,,0.00,1.64,,1.64, 
  현금배당성향(%),26.52,0.00,8.49,0.00,25.82,,25.82, 
