항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,"2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,314,211,262,436,453,, , 
  당기순이익(지배)＜당기＞,21.9,16.2,28.9,48.2,54.7,, , 
  보통주수정평균발행주식수＜당기＞,"6,965,000","7,653,017","11,005,027","11,060,565","12,080,000","12,080,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"2,110","3,140","3,256","4,087","4,299",, , 
  자본총계(지배)＜당기＞,146.6,312.9,337.4,493.7,505.8,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"6,945,000","9,962,259","10,362,259","12,080,000","11,765,000","12,080,000", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,222,259,387,566,546,, , 
  영업활동현금흐름＜당기＞,15.4,19.9,42.6,62.6,66.0,, , 
  보통주수정평균발행주식수＜당기＞,"6,965,000","7,653,017","11,005,027","11,060,565","12,080,000","12,080,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"1,417","1,493","1,918","1,904","2,113",, , 
  매출액＜당기＞,98.7,114.3,211.0,210.6,255.2,, , 
  보통주수정평균발행주식수＜당기＞,"6,965,000","7,653,017","11,005,027","11,060,565","12,080,000","12,080,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,9.87,16.01,13.33,20.56,22.64,, , 
  보통주수정주가(기말)＜당기＞,"3,100","3,380","3,495","8,960","10,250","8,420", , 
  EPS＜당기＞,314,211,262,436,453,, , 
펼치기 PBR,1.47,1.08,1.07,2.19,2.38,, , 
  보통주수정주가(기말)＜당기＞,"3,100","3,380","3,495","8,960","10,250","8,420", , 
  BPS＜당기＞,"2,110","3,140","3,256","4,087","4,299",, , 
펼치기 PCR,13.99,13.03,9.03,15.82,18.77,, , 
  보통주수정주가(기말)＜당기＞,"3,100","3,380","3,495","8,960","10,250","8,420", , 
  CPS＜당기＞,222,259,387,566,546,, , 
펼치기 PSR,2.19,2.26,1.82,4.71,4.85,, , 
  보통주수정주가(기말)＜당기＞,"3,100","3,380","3,495","8,960","10,250","8,420", , 
  SPS＜당기＞,"1,417","1,493","1,918","1,904","2,113",, , 
펼치기 EV/EBITDA,11.16,18.51,10.02,15.84,21.58,, , 
  EV＜당기＞,160.3,417.7,401.8,934.8,"1,395.5",, , 
  EBITDA＜당기＞,14.4,22.6,40.1,59.0,64.7,, , 
펼치기 DPS,50,50,70,100,130,, , 
  현금DPS,50,50,70,100,130,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,1.61,1.48,2.00,1.12,1.27,, , 
  현금배당성향(%),15.87,30.84,25.14,25.06,27.97,, , 
