항목,,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,-967,-22,-2,,92, 
  당기순이익(지배)＜당기＞,,,-0.1,-0.9,-0.1,, , 
  보통주수정평균발행주식수＜당기＞,,,"11,507","3,891,885","4,305,000","4,305,000", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,0, , 
펼치기 BPS,,,"1,996","1,977","1,976",,-0, 
  자본총계(지배)＜당기＞,,,2.1,85.1,85.0,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,0,"105,000","4,305,000","4,305,000","4,305,000", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,0,0,0,0,0, , 
펼치기 CPS,,,"-1,022",-29,4,,113, 
  영업활동현금흐름＜당기＞,,,-0.1,-1.1,0.2,, , 
  보통주수정평균발행주식수＜당기＞,,,"11,507","3,891,885","4,305,000","4,305,000", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,0, , 
펼치기 SPS,,,0,0,0,, , 
  매출액＜당기＞,,,0.0,0.0,0.0,, , 
  보통주수정평균발행주식수＜당기＞,,,"11,507","3,891,885","4,305,000","4,305,000", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,0, , 
펼치기 PER,,,,N/A,N/A,,"-1,198.20", 
  보통주수정주가(기말)＜당기＞,,,,"2,005","2,135","2,225", , 
  EPS＜당기＞,,,-967,-22,-2,, , 
펼치기 PBR,,,0.00,1.03,1.08,,4.75, 
  보통주수정주가(기말)＜당기＞,,,,"2,005","2,135","2,225", , 
  BPS＜당기＞,,,"1,996","1,977","1,976",, , 
펼치기 PCR,,,,-69.94,543.91,,877.63, 
  보통주수정주가(기말)＜당기＞,,,,"2,005","2,135","2,225", , 
  CPS＜당기＞,,,"-1,022",-29,4,, , 
펼치기 PSR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,"2,005","2,135","2,225", , 
  SPS＜당기＞,,,0,0,0,, , 
펼치기 EV/EBITDA,,,,-51.91,-230.02,,-343.14, 
  EV＜당기＞,,,,87.5,92.1,, , 
  EBITDA＜당기＞,,,-0.1,-1.7,-0.4,, , 
펼치기 DPS,,,0,0,,, , 
  현금DPS,,,0,0,,, , 
  주식DPS,,,0,0,,, , 
  현금배당수익률,,,,0.00,,, , 
  현금배당성향(%),,,0.00,0.00,,, , 
