항목,,,"2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,,-61,-2,,96, 
  당기순이익(지배)＜당기＞,,,,-0.1,-0.1,, , 
  보통주수정평균발행주식수＜당기＞,,,,"227,213","4,094,795","4,840,000", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 BPS,,,,"1,093","1,809",,66, 
  자본총계(지배)＜당기＞,,,,9.2,87.6,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,,0,"840,000","4,840,000","4,840,000", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,,0,0,0,0, , 
펼치기 CPS,,,,-49,-9,,81, 
  영업활동현금흐름＜당기＞,,,,-0.1,-0.4,, , 
  보통주수정평균발행주식수＜당기＞,,,,"227,213","4,094,795","4,840,000", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 SPS,,,,0,0,, , 
  매출액＜당기＞,,,,0.0,0.0,, , 
  보통주수정평균발행주식수＜당기＞,,,,"227,213","4,094,795","4,840,000", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 PER,,,,,N/A,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,095","2,180", , 
  EPS＜당기＞,,,,-61,-2,, , 
펼치기 PBR,,,,0.00,1.16,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,095","2,180", , 
  BPS＜당기＞,,,,"1,093","1,809",, , 
펼치기 PCR,,,,,-220.53,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,095","2,180", , 
  CPS＜당기＞,,,,-49,-9,, , 
펼치기 PSR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,095","2,180", , 
  SPS＜당기＞,,,,0,0,, , 
펼치기 EV/EBITDA,,,,,-238.17,, , 
  EV＜당기＞,,,,,94.1,, , 
  EBITDA＜당기＞,,,,-0.1,-0.4,, , 
펼치기 DPS,,,,,,, , 
  현금DPS,,,,,,, , 
  주식DPS,,,,,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),,,,,,, , 
