항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,946,675,468,878,"1,512",,72, 
  당기순이익(지배)＜당기＞,81.3,98.6,68.3,128.2,223.8,, , 
  보통주수정평균발행주식수＜당기＞,"8,600,000","14,600,000","14,600,000","14,600,000","14,795,483","17,566,644", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,237","1,942","1,964","2,751","4,245",,54, 
  자본총계(지배)＜당기＞,180.7,283.5,286.7,401.7,639.2,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"14,600,000","14,600,000","14,600,000","14,600,000","15,057,330","17,960,830", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,546,"1,069",-462,-88,"1,474",,"1,776", 
  영업활동현금흐름＜당기＞,47.0,156.1,-67.5,-12.8,218.1,, , 
  보통주수정평균발행주식수＜당기＞,"8,600,000","14,600,000","14,600,000","14,600,000","14,795,483","17,566,644", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"1,781","2,013","1,298","1,679","2,867",,71, 
  매출액＜당기＞,153.1,293.9,189.6,245.1,424.1,, , 
  보통주수정평균발행주식수＜당기＞,"8,600,000","14,600,000","14,600,000","14,600,000","14,795,483","17,566,644", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,,,"7,050", , 
  EPS＜당기＞,946,675,468,878,"1,512",, , 
펼치기 PBR,0.00,0.00,0.00,0.00,0.00,, , 
  보통주수정주가(기말)＜당기＞,,,,,,"7,050", , 
  BPS＜당기＞,"1,237","1,942","1,964","2,751","4,245",, , 
펼치기 PCR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,,,"7,050", , 
  CPS＜당기＞,546,"1,069",-462,-88,"1,474",, , 
펼치기 PSR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,,,"7,050", , 
  SPS＜당기＞,"1,781","2,013","1,298","1,679","2,867",, , 
펼치기 EV/EBITDA,,,,,,, , 
  EV＜당기＞,,,,,,, , 
  EBITDA＜당기＞,98.8,120.3,89.9,151.2,278.8,, , 
펼치기 DPS,0,0,480,137,0,,-100, 
  현금DPS,0,0,480,137,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),0.00,0.00,0.00,15.60,,, , 
