항목,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,62,-633,9,"-1,277",-347,,73, 
  당기순이익(지배)＜당기＞,2.8,-30.2,0.5,-73.4,-26.6,, , 
  보통주수정평균발행주식수＜당기＞,"4,200,000","4,227,249","4,585,962","5,004,813","7,686,216","9,070,477", , 
  우선주수정평균발행주식수＜당기＞,"400,414","549,085","709,271","747,918",0,0, , 
펼치기 BPS,"1,000",915,"1,186","1,227",664,,-46, 
  자본총계(지배)＜당기＞,46.0,45.3,66.5,93.3,51.1,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"4,200,000","4,253,763","4,937,355","7,604,019","7,693,044","9,140,444", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"400,414","689,414","664,866",0,0,0, , 
펼치기 CPS,116,25,-14,-177,-281,,-59, 
  영업활동현금흐름＜당기＞,5.3,1.2,-0.7,-10.2,-21.6,, , 
  보통주수정평균발행주식수＜당기＞,"4,200,000","4,227,249","4,585,962","5,004,813","7,686,216","9,070,477", , 
  우선주수정평균발행주식수＜당기＞,"400,414","549,085","709,271","747,918",0,0, , 
펼치기 SPS,"1,497","1,557","1,770","1,706","1,540",,-10, 
  매출액＜당기＞,68.9,74.4,93.7,98.2,118.4,, , 
  보통주수정평균발행주식수＜당기＞,"4,200,000","4,227,249","4,585,962","5,004,813","7,686,216","9,070,477", , 
  우선주수정평균발행주식수＜당기＞,"400,414","549,085","709,271","747,918",0,0, , 
펼치기 PER,,,600.64,N/A,N/A,,-341.57, 
  보통주수정주가(기말)＜당기＞,,,"5,166","7,590","9,100","5,080", , 
  EPS＜당기＞,62,-633,9,"-1,277",-347,, , 
펼치기 PBR,0.00,0.00,4.36,6.19,13.71,,121.60, 
  보통주수정주가(기말)＜당기＞,,,"5,166","7,590","9,100","5,080", , 
  BPS＜당기＞,"1,000",915,"1,186","1,227",664,, , 
펼치기 PCR,,,-367.01,-42.84,-32.36,,24.46, 
  보통주수정주가(기말)＜당기＞,,,"5,166","7,590","9,100","5,080", , 
  CPS＜당기＞,116,25,-14,-177,-281,, , 
펼치기 PSR,,,2.92,4.45,5.91,,32.79, 
  보통주수정주가(기말)＜당기＞,,,"5,166","7,590","9,100","5,080", , 
  SPS＜당기＞,"1,497","1,557","1,770","1,706","1,540",, , 
펼치기 EV/EBITDA,,,160.59,-54.24,-89.03,,-64.14, 
  EV＜당기＞,,,263.4,442.1,803.9,, , 
  EBITDA＜당기＞,5.6,2.1,1.6,-8.2,-9.0,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
