항목,"2017/12
(GAAP개별)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,887,936,316,814,"1,290",,58, 
  당기순이익(지배)＜당기＞,41.7,44.2,15.0,38.7,64.5,, , 
  보통주수정평균발행주식수＜당기＞,"4,217,948","4,649,395","4,745,000","4,748,607","4,998,397","5,483,000", , 
  우선주수정평균발행주식수＜당기＞,"482,052","71,317",0,0,0,0, , 
펼치기 BPS,"2,894","4,112","4,599","5,361","8,922",,66, 
  자본총계(지배)＜당기＞,136.0,195.1,218.2,256.0,489.2,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"4,217,948","4,745,000","4,745,000","4,775,000","5,483,000","5,483,000", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"482,052",0,0,0,0,0, , 
펼치기 CPS,"1,446","1,239",267,840,935,,11, 
  영업활동현금흐름＜당기＞,68.0,58.5,12.7,39.9,46.7,, , 
  보통주수정평균발행주식수＜당기＞,"4,217,948","4,649,395","4,745,000","4,748,607","4,998,397","5,483,000", , 
  우선주수정평균발행주식수＜당기＞,"482,052","71,317",0,0,0,0, , 
펼치기 SPS,"3,168","3,756","2,594","3,588","6,008",,67, 
  매출액＜당기＞,148.9,177.3,123.1,170.4,300.3,, , 
  보통주수정평균발행주식수＜당기＞,"4,217,948","4,649,395","4,745,000","4,748,607","4,998,397","5,483,000", , 
  우선주수정평균발행주식수＜당기＞,"482,052","71,317",0,0,0,0, , 
펼치기 PER,,,,,28.88,, , 
  보통주수정주가(기말)＜당기＞,,,,,"18,625","17,950", , 
  EPS＜당기＞,887,936,316,814,"1,290",, , 
펼치기 PBR,0.00,0.00,0.00,0.00,4.17,, , 
  보통주수정주가(기말)＜당기＞,,,,,"18,625","17,950", , 
  BPS＜당기＞,"2,894","4,112","4,599","5,361","8,922",, , 
펼치기 PCR,,,,,39.84,, , 
  보통주수정주가(기말)＜당기＞,,,,,"18,625","17,950", , 
  CPS＜당기＞,"1,446","1,239",267,840,935,, , 
펼치기 PSR,,,,,6.20,, , 
  보통주수정주가(기말)＜당기＞,,,,,"18,625","17,950", , 
  SPS＜당기＞,"3,168","3,756","2,594","3,588","6,008",, , 
펼치기 EV/EBITDA,,,,,22.55,, , 
  EV＜당기＞,,,,,"1,735.6",, , 
  EBITDA＜당기＞,50.3,56.3,14.0,51.2,77.0,, , 
펼치기 DPS,0,0,0,0,400,, , 
  현금DPS,0,0,0,0,400,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,,,,,1.07,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,34.02,,34.02, 
