항목,2017/12,"2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-256,-62,-62,30,49,,61, 
  당기순이익(지배)＜당기＞,-77.6,-21.5,-22.4,11.0,19.3,, , 
  보통주수정평균발행주식수＜당기＞,"30,309,683","34,695,408","35,957,518","36,386,019","39,723,680","54,132,589", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,713,715,636,685,956,,40, 
  자본총계(지배)＜당기＞,216.0,257.0,228.8,251.4,495.3,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"30,309,683","35,957,518","35,957,518","36,676,928","51,789,802","55,145,417", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-111,2,7,266,187,,-30, 
  영업활동현금흐름＜당기＞,-33.7,0.7,2.6,96.7,74.2,, , 
  보통주수정평균발행주식수＜당기＞,"30,309,683","34,695,408","35,957,518","36,386,019","39,723,680","54,132,589", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"1,861","1,592","1,773","2,286","2,277",,-0, 
  매출액＜당기＞,564.0,552.5,637.4,831.8,904.4,, , 
  보통주수정평균발행주식수＜당기＞,"30,309,683","34,695,408","35,957,518","36,386,019","39,723,680","54,132,589", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,N/A,47.15,40.91,,-13.24, 
  보통주수정주가(기말)＜당기＞,"1,295","1,770","1,345","1,425","1,990","1,735", , 
  EPS＜당기＞,-256,-62,-62,30,49,, , 
펼치기 PBR,1.82,2.48,2.11,2.08,2.08,,0.08, 
  보통주수정주가(기말)＜당기＞,"1,295","1,770","1,345","1,425","1,990","1,735", , 
  BPS＜당기＞,713,715,636,685,956,, , 
펼치기 PCR,-11.63,822.11,187.16,5.36,10.66,,98.74, 
  보통주수정주가(기말)＜당기＞,"1,295","1,770","1,345","1,425","1,990","1,735", , 
  CPS＜당기＞,-111,2,7,266,187,, , 
펼치기 PSR,0.70,1.11,0.76,0.62,0.87,,40.23, 
  보통주수정주가(기말)＜당기＞,"1,295","1,770","1,345","1,425","1,990","1,735", , 
  SPS＜당기＞,"1,861","1,592","1,773","2,286","2,277",, , 
펼치기 EV/EBITDA,-5.27,40.92,20.04,17.79,23.64,,32.91, 
  EV＜당기＞,327.6,530.8,464.5,463.1,852.4,, , 
  EBITDA＜당기＞,-62.2,13.0,23.2,26.0,36.1,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,0.00,,0.00, 
  현금배당성향(%),0.00,0.00,0.00,0.00,0.00,,0.00, 
