항목,"2017/12
(GAAP개별)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,427,"1,115",717,66,-61,,-192, 
  당기순이익(지배)＜당기＞,15.6,42.9,30.9,3.2,-3.0,, , 
  보통주수정평균발행주식수＜당기＞,"3,666,465","3,852,630","4,311,686","4,862,000","4,866,356","5,541,653", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"4,550","5,476","7,453","7,447","7,247",,-3, 
  자본총계(지배)＜당기＞,175.3,211.0,362.4,362.1,360.0,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"3,852,630","3,852,630","4,862,000","4,862,000","4,968,000","5,854,334", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-764,"1,342","-2,636","1,164",-185,,-116, 
  영업활동현금흐름＜당기＞,-28.0,51.7,-113.7,56.6,-9.0,, , 
  보통주수정평균발행주식수＜당기＞,"3,666,465","3,852,630","4,311,686","4,862,000","4,866,356","5,541,653", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"10,074","14,101","9,943","13,007","7,420",,-43, 
  매출액＜당기＞,369.4,543.3,428.7,632.4,361.1,, , 
  보통주수정평균발행주식수＜당기＞,"3,666,465","3,852,630","4,311,686","4,862,000","4,866,356","5,541,653", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,16.40,247.40,N/A,,-252.26, 
  보통주수정주가(기말)＜당기＞,,,"11,750","16,300","22,900","11,750", , 
  EPS＜당기＞,427,"1,115",717,66,-61,, , 
펼치기 PBR,0.00,0.00,1.58,2.19,3.16,,44.38, 
  보통주수정주가(기말)＜당기＞,,,"11,750","16,300","22,900","11,750", , 
  BPS＜당기＞,"4,550","5,476","7,453","7,447","7,247",, , 
펼치기 PCR,,,-4.46,14.01,-124.03,,-985.55, 
  보통주수정주가(기말)＜당기＞,,,"11,750","16,300","22,900","11,750", , 
  CPS＜당기＞,-764,"1,342","-2,636","1,164",-185,, , 
펼치기 PSR,,,1.18,1.25,3.09,,146.29, 
  보통주수정주가(기말)＜당기＞,,,"11,750","16,300","22,900","11,750", , 
  SPS＜당기＞,"10,074","14,101","9,943","13,007","7,420",, , 
펼치기 EV/EBITDA,,,13.73,136.49,-186.71,,-236.80, 
  EV＜당기＞,,,549.9,748.7,"1,051.5",, , 
  EBITDA＜당기＞,24.3,55.3,40.0,5.5,-5.6,, , 
펼치기 DPS,6,6,80,80,80,,0, 
  현금DPS,6,6,80,80,80,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,,,0.68,0.49,0.35,,-0.14, 
  현금배당성향(%),1.37,0.54,12.59,121.42,-134.34,,-255.76, 
