항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"1,318","1,980",661,"4,320","4,470",, , 
  당기순이익(지배)＜당기＞,75.3,139.3,46.5,303.9,314.5,, , 
  보통주수정평균발행주식수＜당기＞,"5,712,893","7,036,609","7,036,609","7,036,609","7,036,609","7,036,609", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"6,951","9,064","9,598","14,220","18,620",, , 
  자본총계(지배)＜당기＞,489.1,607.9,635.4,988.1,"1,293.9",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"7,036,610","6,706,890","6,619,844","6,948,786","6,948,786","6,948,786", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,"-1,307",978,"3,010","5,104","3,156",, , 
  영업활동현금흐름＜당기＞,-74.7,68.8,211.8,359.1,222.1,, , 
  보통주수정평균발행주식수＜당기＞,"5,712,893","7,036,609","7,036,609","7,036,609","7,036,609","7,036,609", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"20,180","13,239","6,143","17,931","17,774",, , 
  매출액＜당기＞,"1,152.9",931.6,432.3,"1,261.7","1,250.7",, , 
  보통주수정평균발행주식수＜당기＞,"5,712,893","7,036,609","7,036,609","7,036,609","7,036,609","7,036,609", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,7.38,3.91,18.61,11.97,6.76,, , 
  보통주수정주가(기말)＜당기＞,"9,722","7,739","12,300","51,700","30,200","22,200", , 
  EPS＜당기＞,"1,318","1,980",661,"4,320","4,470",, , 
펼치기 PBR,1.40,0.85,1.28,3.64,1.62,, , 
  보통주수정주가(기말)＜당기＞,"9,722","7,739","12,300","51,700","30,200","22,200", , 
  BPS＜당기＞,"6,951","9,064","9,598","14,220","18,620",, , 
펼치기 PCR,-7.44,7.91,4.09,10.13,9.57,, , 
  보통주수정주가(기말)＜당기＞,"9,722","7,739","12,300","51,700","30,200","22,200", , 
  CPS＜당기＞,"-1,307",978,"3,010","5,104","3,156",, , 
펼치기 PSR,0.48,0.58,2.00,2.88,1.70,, , 
  보통주수정주가(기말)＜당기＞,"9,722","7,739","12,300","51,700","30,200","22,200", , 
  SPS＜당기＞,"20,180","13,239","6,143","17,931","17,774",, , 
펼치기 EV/EBITDA,3.24,1.45,7.27,6.27,3.11,, , 
  EV＜당기＞,380.7,248.8,385.7,"2,801.9","1,142.9",, , 
  EBITDA＜당기＞,117.6,172.0,53.1,447.2,368.1,, , 
펼치기 DPS,135,178,19,600,450,, , 
  현금DPS,135,178,0,600,450,, , 
  주식DPS,0,0,19,0,0,, , 
  현금배당수익률,1.39,2.30,0.00,1.16,1.49,, , 
  현금배당성향(%),12.61,8.57,0.00,13.72,9.94,, , 
