항목,2017/12,2018/12,2019/12,"2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-333,-481,-523,-285,58,,120, 
  당기순이익(지배)＜당기＞,-51.1,-73.8,-80.2,-43.6,8.8,, , 
  보통주수정평균발행주식수＜당기＞,"15,328,276","15,328,276","15,328,276","15,328,276","15,328,276","15,328,276", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,748","1,271",770,490,560,,14, 
  자본총계(지배)＜당기＞,266.2,193.6,117.2,74.8,85.8,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"15,229,298","15,229,298","15,229,298","15,284,298","15,318,296","15,328,276", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-83,-156,-34,-259,64,,125, 
  영업활동현금흐름＜당기＞,-12.7,-24.0,-5.3,-39.7,9.7,, , 
  보통주수정평균발행주식수＜당기＞,"15,328,276","15,328,276","15,328,276","15,328,276","15,328,276","15,328,276", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"1,802","1,113","1,236","1,165","1,391",,19, 
  매출액＜당기＞,276.2,170.7,189.5,178.6,213.2,, , 
  보통주수정평균발행주식수＜당기＞,"15,328,276","15,328,276","15,328,276","15,328,276","15,328,276","15,328,276", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,N/A,N/A,44.02,,"1,075.36", 
  보통주수정주가(기말)＜당기＞,"2,359","1,720","1,392","1,284","2,535","2,550", , 
  EPS＜당기＞,-333,-481,-523,-285,58,, , 
펼치기 PBR,1.35,1.35,1.81,2.62,4.52,,72.54, 
  보통주수정주가(기말)＜당기＞,"2,359","1,720","1,392","1,284","2,535","2,550", , 
  BPS＜당기＞,"1,748","1,271",770,490,560,, , 
펼치기 PCR,-28.42,-11.00,-40.57,-4.96,39.91,,904.82, 
  보통주수정주가(기말)＜당기＞,"2,359","1,720","1,392","1,284","2,535","2,550", , 
  CPS＜당기＞,-83,-156,-34,-259,64,, , 
펼치기 PSR,1.31,1.54,1.13,1.10,1.82,,65.30, 
  보통주수정주가(기말)＜당기＞,"2,359","1,720","1,392","1,284","2,535","2,550", , 
  SPS＜당기＞,"1,802","1,113","1,236","1,165","1,391",, , 
펼치기 EV/EBITDA,-6.61,-4.31,-3.52,-6.26,35.55,,667.79, 
  EV＜당기＞,215.7,157.9,130.2,168.8,357.4,, , 
  EBITDA＜당기＞,-32.6,-36.6,-37.0,-27.0,10.1,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
