항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,355,815,670,268,631,-60,136
  당기순이익(지배)＜당기＞,,7.7,18.4,20.9,10.8,33.0, , 
  보통주수정평균발행주식수＜당기＞,"1,977,600","2,180,144","2,263,416","2,340,570","3,166,441","5,227,373", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,"783,607","882,707",0, , 
펼치기 BPS,,659,"1,258","1,572","4,240",,170, 
  자본총계(지배)＜당기＞,,14.5,28.8,56.4,193.4,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"1,977,600","2,202,304","2,286,472","2,386,472","4,561,072","5,361,072", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,"1,200,000",0,0, , 
펼치기 CPS,,11,359,209,414,,98, 
  영업활동현금흐름＜당기＞,,0.3,8.1,6.5,16.8,, , 
  보통주수정평균발행주식수＜당기＞,"1,977,600","2,180,144","2,263,416","2,340,570","3,166,441","5,227,373", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,"783,607","882,707",0, , 
펼치기 SPS,,"1,349","3,853","4,412","4,851","5,280",10,9
  매출액＜당기＞,,29.4,87.2,137.9,196.4,276.0, , 
  보통주수정평균발행주식수＜당기＞,"1,977,600","2,180,144","2,263,416","2,340,570","3,166,441","5,227,373", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,"783,607","882,707",0, , 
펼치기 PER,,,,,,18.22, , 
  보통주수정주가(기말)＜당기＞,,,,,,"11,500", , 
  EPS＜당기＞,,355,815,670,268,631, , 
펼치기 PBR,,0.00,0.00,0.00,0.00,, , 
  보통주수정주가(기말)＜당기＞,,,,,,"11,500", , 
  BPS＜당기＞,,659,"1,258","1,572","4,240",, , 
펼치기 PCR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,,,"11,500", , 
  CPS＜당기＞,,11,359,209,414,, , 
펼치기 PSR,,,,,,2.18, , 
  보통주수정주가(기말)＜당기＞,,,,,,"11,500", , 
  SPS＜당기＞,,"1,349","3,853","4,412","4,851","5,280", , 
펼치기 EV/EBITDA,,,,,,, , 
  EV＜당기＞,,,,,,, , 
  EBITDA＜당기＞,,12.4,24.6,40.9,46.7,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),,0.00,0.00,0.00,,, , 
