항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,265,132,175,237,278,,17, 
  당기순이익(지배)＜당기＞,91.2,45.7,62.6,85.8,101.1,, , 
  보통주수정평균발행주식수＜당기＞,"34,470,000","34,470,000","35,692,945","36,199,126","36,338,727","36,338,727", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,698","1,671","1,889","2,133","2,321",,9, 
  자본총계(지배)＜당기＞,585.3,576.0,677.5,775.2,843.4,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"34,469,324","34,469,324","35,859,474","36,338,051","36,338,551","36,338,551", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,401,154,357,380,499,,31, 
  영업활동현금흐름＜당기＞,138.3,53.0,127.3,137.5,181.2,, , 
  보통주수정평균발행주식수＜당기＞,"34,470,000","34,470,000","35,692,945","36,199,126","36,338,727","36,338,727", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"1,220","1,083","1,394","1,572","1,979",,26, 
  매출액＜당기＞,420.4,373.4,497.7,569.0,719.0,, , 
  보통주수정평균발행주식수＜당기＞,"34,470,000","34,470,000","35,692,945","36,199,126","36,338,727","36,338,727", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,22.83,29.97,29.06,23.58,23.94,,1.52, 
  보통주수정주가(기말)＜당기＞,"6,040","3,970","5,100","5,590","6,660","7,460", , 
  EPS＜당기＞,265,132,175,237,278,, , 
펼치기 PBR,3.56,2.38,2.70,2.62,2.87,,9.51, 
  보통주수정주가(기말)＜당기＞,"6,040","3,970","5,100","5,590","6,660","7,460", , 
  BPS＜당기＞,"1,698","1,671","1,889","2,133","2,321",, , 
펼치기 PCR,15.06,25.84,14.30,14.71,13.35,,-9.25, 
  보통주수정주가(기말)＜당기＞,"6,040","3,970","5,100","5,590","6,660","7,460", , 
  CPS＜당기＞,401,154,357,380,499,, , 
펼치기 PSR,4.95,3.67,3.66,3.56,3.37,,-5.35, 
  보통주수정주가(기말)＜당기＞,"6,040","3,970","5,100","5,590","6,660","7,460", , 
  SPS＜당기＞,"1,220","1,083","1,394","1,572","1,979",, , 
펼치기 EV/EBITDA,16.28,16.52,13.81,12.75,11.33,,-11.11, 
  EV＜당기＞,"2,148.4","1,414.9","1,817.3","2,276.1","2,425.1",, , 
  EBITDA＜당기＞,132.0,85.6,131.6,178.5,214.0,, , 
펼치기 DPS,165,50,50,100,150,,50, 
  현금DPS,165,50,50,100,150,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,2.73,1.26,0.98,1.79,2.25,,0.46, 
  현금배당성향(%),56.51,37.75,28.62,42.34,53.91,,11.57, 
