항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,199,794,226,-85,-119,680,-40,671
  당기순이익(지배)＜당기＞,9.0,37.4,12.0,-6.1,-9.0,55.0, , 
  보통주수정평균발행주식수＜당기＞,"4,507,999","4,715,219","5,291,067","7,145,727","7,574,089","8,085,505", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,536","2,686","3,707","4,056","4,337","4,989",7,15
  자본총계(지배)＜당기＞,69.2,131.1,256.9,291.8,349.0,404.0, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"4,508,000","4,880,000","6,930,575","7,193,175","8,047,696","8,097,696", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,376,368,16,-43,523,"1,076","1,326",106
  영업활동현금흐름＜당기＞,16.9,17.3,0.9,-3.1,39.6,157.0, , 
  보통주수정평균발행주식수＜당기＞,"4,507,999","4,715,219","5,291,067","7,145,727","7,574,089","8,085,505", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"2,535","4,087","3,064","2,549","4,987","6,308",96,26
  매출액＜당기＞,114.3,192.7,162.1,182.1,377.7,510.0, , 
  보통주수정평균발행주식수＜당기＞,"4,507,999","4,715,219","5,291,067","7,145,727","7,574,089","8,085,505", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,62.06,N/A,N/A,18.52,25.16,115.00
  보통주수정주가(기말)＜당기＞,,,"14,047","14,072","14,700","12,600", , 
  EPS＜당기＞,199,794,226,-85,-119,680, , 
펼치기 PBR,0.00,0.00,3.79,3.47,3.39,2.53,-2.29,-25.50
  보통주수정주가(기말)＜당기＞,,,"14,047","14,072","14,700","12,600", , 
  BPS＜당기＞,"1,536","2,686","3,707","4,056","4,337","4,989", , 
펼치기 PCR,,,869.20,-329.56,28.09,11.71,108.52,-58.31
  보통주수정주가(기말)＜당기＞,,,"14,047","14,072","14,700","12,600", , 
  CPS＜당기＞,376,368,16,-43,523,"1,076", , 
펼치기 PSR,,,4.58,5.52,2.95,2.00,-46.61,-32.23
  보통주수정주가(기말)＜당기＞,,,"14,047","14,072","14,700","12,600", , 
  SPS＜당기＞,"2,535","4,087","3,064","2,549","4,987","6,308", , 
펼치기 EV/EBITDA,,,50.09,316.80,48.12,9.70,-84.81,-79.84
  EV＜당기＞,,,849.0,937.4,"1,033.9",737.3, , 
  EBITDA＜당기＞,15.2,50.0,16.9,3.0,21.5,76.0, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,,,0.00,0.00,0.00,0.00,0.00,0.00
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
