항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"1,165","1,438","1,466","1,227","2,220","1,767",81,-20
  당기순이익(지배)＜당기＞,93.6,120.0,128.8,113.7,209.4,167.0, , 
  보통주수정평균발행주식수＜당기＞,"8,032,602","8,340,000","8,786,992","9,267,000","9,432,436","9,453,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"4,830","6,609","12,344","13,347","15,144","16,798",13,11
  자본총계(지배)＜당기＞,402.9,551.2,"1,106.4","1,154.3","1,343.0","1,473.0", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"8,340,000","8,340,000","8,962,948","8,648,373","8,867,831","8,768,977", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"5,169","1,426","1,334","3,196","5,552","2,391",74,-57
  영업활동현금흐름＜당기＞,415.2,118.9,117.2,296.2,523.7,164.0, , 
  보통주수정평균발행주식수＜당기＞,"8,032,602","8,340,000","8,786,992","9,267,000","9,432,436","9,453,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"4,897","6,854","7,461","8,429","11,702","13,467",39,15
  매출액＜당기＞,393.4,571.6,655.6,781.1,"1,103.7","1,273.0", , 
  보통주수정평균발행주식수＜당기＞,"8,032,602","8,340,000","8,786,992","9,267,000","9,432,436","9,453,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,19.72,27.02,14.34,14.29,-46.91,-0.36
  보통주수정주가(기말)＜당기＞,,,"28,900","33,150","31,850","25,250", , 
  EPS＜당기＞,"1,165","1,438","1,466","1,227","2,220","1,767", , 
펼치기 PBR,0.00,0.00,2.34,2.48,2.10,1.50,-15.32,-28.53
  보통주수정주가(기말)＜당기＞,,,"28,900","33,150","31,850","25,250", , 
  BPS＜당기＞,"4,830","6,609","12,344","13,347","15,144","16,798", , 
펼치기 PCR,,,21.67,10.37,5.74,10.56,-44.69,84.10
  보통주수정주가(기말)＜당기＞,,,"28,900","33,150","31,850","25,250", , 
  CPS＜당기＞,"5,169","1,426","1,334","3,196","5,552","2,391", , 
펼치기 PSR,,,3.87,3.93,2.72,1.88,-30.79,-31.11
  보통주수정주가(기말)＜당기＞,,,"28,900","33,150","31,850","25,250", , 
  SPS＜당기＞,"4,897","6,854","7,461","8,429","11,702","13,467", , 
펼치기 EV/EBITDA,,,9.14,12.70,5.99,4.69,-52.82,-21.72
  EV＜당기＞,,,"1,334.1","1,665.5","1,121.2","1,050.9", , 
  EBITDA＜당기＞,100.4,137.7,145.9,131.1,187.1,224.0, , 
펼치기 DPS,0,0,380,350,470,,34, 
  현금DPS,0,0,380,350,470,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,1.31,1.06,1.48,1.86,0.42,0.39
  현금배당성향(%),0.00,0.00,26.44,26.62,19.90,26.60,-6.72,6.70
