항목,2017/12,2018/12,"2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-323,-431,-720,-49,131,, , 
  당기순이익(지배)＜당기＞,-47.0,-73.8,-120.2,-8.3,22.4,, , 
  보통주수정평균발행주식수＜당기＞,"14,522,179","17,117,100","17,117,100","17,117,100","17,117,100",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"2,343","1,897","1,189","1,146","1,288",, , 
  자본총계(지배)＜당기＞,394.0,319.1,200.0,192.7,216.7,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"16,817,100","16,817,100","16,817,100","16,817,100","16,817,100","16,817,100", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-356,-206,-463,-20,-27,, , 
  영업활동현금흐름＜당기＞,-51.6,-35.2,-79.2,-3.4,-4.6,, , 
  보통주수정평균발행주식수＜당기＞,"14,522,179","17,117,100","17,117,100","17,117,100","17,117,100",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,927,839,335,"1,464",658,, , 
  매출액＜당기＞,134.6,143.7,57.3,250.7,112.5,, , 
  보통주수정평균발행주식수＜당기＞,"14,522,179","17,117,100","17,117,100","17,117,100","17,117,100",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,N/A,N/A,N/A,N/A,6.33,, , 
  보통주수정주가(기말)＜당기＞,"4,330","2,365",744,829,829,829, , 
  EPS＜당기＞,-323,-431,-720,-49,131,, , 
펼치기 PBR,1.85,1.25,0.63,0.72,0.64,, , 
  보통주수정주가(기말)＜당기＞,"4,330","2,365",744,829,829,829, , 
  BPS＜당기＞,"2,343","1,897","1,189","1,146","1,288",, , 
펼치기 PCR,-12.18,-11.51,-1.61,-41.73,-31.07,, , 
  보통주수정주가(기말)＜당기＞,"4,330","2,365",744,829,829,829, , 
  CPS＜당기＞,-356,-206,-463,-20,-27,, , 
펼치기 PSR,4.67,2.82,2.22,0.57,1.26,, , 
  보통주수정주가(기말)＜당기＞,"4,330","2,365",744,829,829,829, , 
  SPS＜당기＞,927,839,335,"1,464",658,, , 
펼치기 EV/EBITDA,-12.78,-5.07,-0.46,-5.22,2.22,, , 
  EV＜당기＞,491.5,252.5,46.7,61.2,49.1,, , 
  EBITDA＜당기＞,-38.5,-49.8,-101.1,-11.7,22.1,, , 
펼치기 DPS,,,,,,, , 
  현금DPS,,,,,,, , 
  주식DPS,,,,,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
