항목,"2017/12
(GAAP개별)","2018/12
(GAAP개별)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,91,156,129,-58,245,,523, 
  당기순이익(지배)＜당기＞,23.6,40.5,35.3,-16.4,71.7,, , 
  보통주수정평균발행주식수＜당기＞,"26,021,185","26,021,185","27,304,209","28,384,411","29,337,525","30,027,963", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,107,263,436,851,"1,105",,30, 
  자본총계(지배)＜당기＞,27.9,68.4,123.6,248.9,331.9,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"26,021,186","26,021,186","28,357,964","29,237,948","30,027,948","30,027,948", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-83,140,71,6,202,,"3,051", 
  영업활동현금흐름＜당기＞,-21.6,36.3,19.3,1.8,59.2,, , 
  보통주수정평균발행주식수＜당기＞,"26,021,185","26,021,185","27,304,209","28,384,411","29,337,525","30,027,963", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,441,810,869,930,947,,2, 
  매출액＜당기＞,114.7,210.7,237.2,263.9,277.8,, , 
  보통주수정평균발행주식수＜당기＞,"26,021,185","26,021,185","27,304,209","28,384,411","29,337,525","30,027,963", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,,N/A,9.92,,116.66, 
  보통주수정주가(기말)＜당기＞,,,,"3,440","2,425","2,530", , 
  EPS＜당기＞,91,156,129,-58,245,, , 
펼치기 PBR,,,,4.04,2.19,,-45.71, 
  보통주수정주가(기말)＜당기＞,,,,"3,440","2,425","2,530", , 
  BPS＜당기＞,107,263,436,851,"1,105",, , 
펼치기 PCR,,,,536.88,12.01,,-97.76, 
  보통주수정주가(기말)＜당기＞,,,,"3,440","2,425","2,530", , 
  CPS＜당기＞,-83,140,71,6,202,, , 
펼치기 PSR,,,,3.70,2.56,,-30.78, 
  보통주수정주가(기말)＜당기＞,,,,"3,440","2,425","2,530", , 
  SPS＜당기＞,441,810,869,930,947,, , 
펼치기 EV/EBITDA,,,,14.47,7.35,,-49.21, 
  EV＜당기＞,,,,853.7,466.5,, , 
  EBITDA＜당기＞,30.1,52.4,48.2,59.0,63.5,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,0.00,0.00,0.00,,, , 
  현금배당성향(%),,0.00,0.00,0.00,,, , 
