항목,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-202,-547,-666,"-1,217","-1,790",, , 
  당기순이익(지배)＜당기＞,-8.6,-25.7,-59.1,-111.1,-195.6,, , 
  보통주수정평균발행주식수＜당기＞,"4,263,600","4,676,400","8,883,800","8,925,252","10,852,301","11,307,500", , 
  우선주수정평균발행주식수＜당기＞,"13,530","13,608",0,"205,555","70,097",0, , 
펼치기 BPS,452,"1,245",610,-392,"2,016",, , 
  자본총계(지배)＜당기＞,19.3,110.6,54.2,-36.4,225.9,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"4,263,600","8,883,800","8,883,800","8,977,450","11,208,656","11,332,656", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"13,547",0,0,"304,587",0,0, , 
펼치기 CPS,-204,-442,-548,-854,"-1,355",, , 
  영업활동현금흐름＜당기＞,-8.7,-20.7,-48.7,-78.0,-148.0,, , 
  보통주수정평균발행주식수＜당기＞,"4,263,600","4,676,400","8,883,800","8,925,252","10,852,301","11,307,500", , 
  우선주수정평균발행주식수＜당기＞,"13,530","13,608",0,"205,555","70,097",0, , 
펼치기 SPS,38,19,18,138,206,, , 
  매출액＜당기＞,1.6,0.9,1.6,12.6,22.5,, , 
  보통주수정평균발행주식수＜당기＞,"4,263,600","4,676,400","8,883,800","8,925,252","10,852,301","11,307,500", , 
  우선주수정평균발행주식수＜당기＞,"13,530","13,608",0,"205,555","70,097",0, , 
펼치기 PER,,,,,N/A,, , 
  보통주수정주가(기말)＜당기＞,,,,,"18,900","9,820", , 
  EPS＜당기＞,-202,-547,-666,"-1,217","-1,790",, , 
펼치기 PBR,0.00,0.00,0.00,0.00,9.38,, , 
  보통주수정주가(기말)＜당기＞,,,,,"18,900","9,820", , 
  BPS＜당기＞,452,"1,245",610,-392,"2,016",, , 
펼치기 PCR,,,,0.00,-13.95,, , 
  보통주수정주가(기말)＜당기＞,,,,,"18,900","9,820", , 
  CPS＜당기＞,-204,-442,-548,-854,"-1,355",, , 
펼치기 PSR,,,,0.00,91.83,, , 
  보통주수정주가(기말)＜당기＞,,,,,"18,900","9,820", , 
  SPS＜당기＞,38,19,18,138,206,, , 
펼치기 EV/EBITDA,,,,,-11.63,, , 
  EV＜당기＞,,,,,"1,968.0",, , 
  EBITDA＜당기＞,-8.8,-25.7,-56.1,-90.2,-169.2,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,,,,,0.00,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
