항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,68,130,-217,, , 
  당기순이익(지배)＜당기＞,,,18.9,36.5,-64.5,, , 
  보통주수정평균발행주식수＜당기＞,"17,645,672","18,003,879","27,749,333","28,191,747","29,719,692","30,726,747", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,,,463,591,"1,007",, , 
  자본총계(지배)＜당기＞,,,130.4,166.7,309.5,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"17,645,672","27,694,882","28,191,748","28,191,747","30,726,739","30,726,739", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,,,55,193,-22,, , 
  영업활동현금흐름＜당기＞,,,15.4,54.3,-6.7,, , 
  보통주수정평균발행주식수＜당기＞,"17,645,672","18,003,879","27,749,333","28,191,747","29,719,692","30,726,747", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,,,821,"1,316","1,410",, , 
  매출액＜당기＞,,,227.8,371.1,419.0,, , 
  보통주수정평균발행주식수＜당기＞,"17,645,672","18,003,879","27,749,333","28,191,747","29,719,692","30,726,747", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,,,N/A,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,630","3,790", , 
  EPS＜당기＞,,,68,130,-217,, , 
펼치기 PBR,,,,,2.61,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,630","3,790", , 
  BPS＜당기＞,,,463,591,"1,007",, , 
펼치기 PCR,,,,,-116.97,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,630","3,790", , 
  CPS＜당기＞,,,55,193,-22,, , 
펼치기 PSR,,,,,1.87,, , 
  보통주수정주가(기말)＜당기＞,,,,,"2,630","3,790", , 
  SPS＜당기＞,,,821,"1,316","1,410",, , 
펼치기 EV/EBITDA,,,,,20.89,, , 
  EV＜당기＞,,,,,757.5,, , 
  EBITDA＜당기＞,,0.0,17.8,48.4,36.3,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,0.00,0.00,,, , 
  현금배당성향(%),,,0.00,0.00,,, , 
