항목,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,18,196,241,195,284,259,46,-9
  당기순이익(지배)＜당기＞,3.8,42.7,52.7,42.5,62.0,66.0, , 
  보통주수정평균발행주식수＜당기＞,"21,840,000","21,840,000","21,840,000","21,840,000","21,840,000","25,521,385", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,005","1,155","1,204","1,533","1,819",,19, 
  자본총계(지배)＜당기＞,219.6,252.3,262.9,334.7,397.2,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"21,840,000","21,840,000","21,840,000","21,840,000","21,840,000","26,489,500", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,59,-36,598,310,486,,57, 
  영업활동현금흐름＜당기＞,12.9,-7.9,130.6,67.8,106.2,, , 
  보통주수정평균발행주식수＜당기＞,"21,840,000","21,840,000","21,840,000","21,840,000","21,840,000","25,521,385", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"2,388","3,443","3,978","3,786","4,798","4,702",27,-2
  매출액＜당기＞,521.5,752.1,868.7,826.9,"1,048.0","1,200.0", , 
  보통주수정평균발행주식수＜당기＞,"21,840,000","21,840,000","21,840,000","21,840,000","21,840,000","25,521,385", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,,,,21.11, , 
  보통주수정주가(기말)＜당기＞,,,,,,"5,460", , 
  EPS＜당기＞,18,196,241,195,284,259, , 
펼치기 PBR,0.00,0.00,0.00,0.00,0.00,, , 
  보통주수정주가(기말)＜당기＞,,,,,,"5,460", , 
  BPS＜당기＞,"1,005","1,155","1,204","1,533","1,819",, , 
펼치기 PCR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,,,"5,460", , 
  CPS＜당기＞,59,-36,598,310,486,, , 
펼치기 PSR,,,,,,1.16, , 
  보통주수정주가(기말)＜당기＞,,,,,,"5,460", , 
  SPS＜당기＞,"2,388","3,443","3,978","3,786","4,798","4,702", , 
펼치기 EV/EBITDA,,,,,,, , 
  EV＜당기＞,,,,,,, , 
  EBITDA＜당기＞,21.7,62.4,70.3,72.8,81.9,, , 
펼치기 DPS,"4,249",379,0,0,,, , 
  현금DPS,"4,249",379,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),649.55,98.32,0.00,0.00,,, , 
