항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,62,685,"1,027",-14,"1,065","1,403","7,560",32
  당기순이익(지배)＜당기＞,4.9,56.0,85.0,-1.2,90.0,119.0, , 
  보통주수정평균발행주식수＜당기＞,"7,855,554","8,175,016","8,269,038","8,449,912","8,449,912","8,479,139", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"9,820","10,291","10,995","10,814","11,709","12,859",8,10
  자본총계(지배)＜당기＞,771.4,847.3,929.1,913.8,989.4,"1,092.0", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"7,855,554","8,232,912","8,449,912","8,449,912","8,449,912","8,491,912", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,395,717,355,765,"1,142","1,698",49,49
  영업활동현금흐름＜당기＞,31.1,58.6,29.4,64.7,96.5,74.0, , 
  보통주수정평균발행주식수＜당기＞,"7,855,554","8,175,016","8,269,038","8,449,912","8,449,912","8,479,139", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"6,818","8,135","8,994","8,425","10,124","12,383",20,22
  매출액＜당기＞,535.6,665.0,743.7,711.9,855.5,"1,050.0", , 
  보통주수정평균발행주식수＜당기＞,"7,855,554","8,175,016","8,269,038","8,449,912","8,449,912","8,479,139", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,77.80,13.71,9.34,N/A,10.19,8.19,100.98,-19.58
  보통주수정주가(기말)＜당기＞,"4,810","9,390","9,600","14,800","10,850","11,500", , 
  EPS＜당기＞,62,685,"1,027",-14,"1,065","1,403", , 
펼치기 PBR,0.49,0.91,0.87,1.37,0.93,0.89,-32.29,-3.49
  보통주수정주가(기말)＜당기＞,"4,810","9,390","9,600","14,800","10,850","11,500", , 
  BPS＜당기＞,"9,820","10,291","10,995","10,814","11,709","12,859", , 
펼치기 PCR,12.16,13.10,27.02,19.34,9.50,6.77,-50.88,-28.70
  보통주수정주가(기말)＜당기＞,"4,810","9,390","9,600","14,800","10,850","11,500", , 
  CPS＜당기＞,395,717,355,765,"1,142","1,698", , 
펼치기 PSR,0.71,1.15,1.07,1.76,1.07,0.93,-38.99,-13.35
  보통주수정주가(기말)＜당기＞,"4,810","9,390","9,600","14,800","10,850","11,500", , 
  SPS＜당기＞,"6,818","8,135","8,994","8,425","10,124","12,383", , 
펼치기 EV/EBITDA,9.59,10.27,7.31,28.27,9.63,7.11,-65.92,-26.14
  EV＜당기＞,360.9,800.5,866.0,"1,353.5","1,083.3","1,216.6", , 
  EBITDA＜당기＞,37.6,78.0,118.5,47.9,112.5,171.0, , 
펼치기 DPS,100,150,200,150,200,,33, 
  현금DPS,100,150,200,150,200,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,2.08,1.60,2.08,1.01,1.84,1.74,0.83,-0.10
  현금배당성향(%),161.75,22.05,19.89,"-1,050.74",18.78,14.27,"1,069.52",-4.51
