항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,142,-73,9,-14,-54,,-297, 
  당기순이익(지배)＜당기＞,54.4,-27.9,3.5,-5.9,-30.3,, , 
  보통주수정평균발행주식수＜당기＞,"35,831,149","36,921,933","39,602,132","42,999,537","55,600,704","62,963,138", , 
  우선주수정평균발행주식수＜당기＞,"2,369,859","1,279,075",0,0,0,0, , 
펼치기 BPS,327,450,495,697,710,,2, 
  자본총계(지배)＜당기＞,124.9,166.7,192.1,367.0,409.5,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"35,831,149","37,018,830","38,838,366","52,623,362","57,688,616","66,073,521", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"2,369,859",0,0,0,0,0, , 
펼치기 CPS,241,25,-22,-190,132,,169, 
  영업활동현금흐름＜당기＞,92.0,9.4,-8.7,-81.6,73.3,, , 
  보통주수정평균발행주식수＜당기＞,"35,831,149","36,921,933","39,602,132","42,999,537","55,600,704","62,963,138", , 
  우선주수정평균발행주식수＜당기＞,"2,369,859","1,279,075",0,0,0,0, , 
펼치기 SPS,"1,622","1,004",543,450,532,,18, 
  매출액＜당기＞,619.7,383.4,215.2,193.4,296.0,, , 
  보통주수정평균발행주식수＜당기＞,"35,831,149","36,921,933","39,602,132","42,999,537","55,600,704","62,963,138", , 
  우선주수정평균발행주식수＜당기＞,"2,369,859","1,279,075",0,0,0,0, , 
펼치기 PER,,N/A,150.27,N/A,N/A,,73.71, 
  보통주수정주가(기말)＜당기＞,,"1,875","1,330","1,815","1,895","1,530", , 
  EPS＜당기＞,142,-73,9,-14,-54,, , 
펼치기 PBR,,4.16,2.69,2.60,2.67,,2.58, 
  보통주수정주가(기말)＜당기＞,,"1,875","1,330","1,815","1,895","1,530", , 
  BPS＜당기＞,327,450,495,697,710,, , 
펼치기 PCR,,76.01,-60.56,-9.56,14.37,,250.28, 
  보통주수정주가(기말)＜당기＞,,"1,875","1,330","1,815","1,895","1,530", , 
  CPS＜당기＞,241,25,-22,-190,132,, , 
펼치기 PSR,,1.87,2.45,4.03,3.56,,-11.78, 
  보통주수정주가(기말)＜당기＞,,"1,875","1,330","1,815","1,895","1,530", , 
  SPS＜당기＞,"1,622","1,004",543,450,532,, , 
펼치기 EV/EBITDA,,36.68,36.92,102.10,456.92,,347.51, 
  EV＜당기＞,,688.5,476.8,867.3,"1,248.9",, , 
  EBITDA＜당기＞,91.5,18.8,12.9,8.5,2.7,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,0.00,,0.00, 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
