항목,"2018/06
(IFRS별도)",2019/06,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-73,-80,-69,-225,-358,,-59, 
  당기순이익(지배)＜당기＞,-17.8,-22.3,-20.7,-85.8,-239.3,, , 
  보통주수정평균발행주식수＜당기＞,"24,510,732","27,735,799","29,969,195","38,221,155","66,867,754","96,056,714", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,656,714,685,786,700,,-11, 
  자본총계(지배)＜당기＞,165.5,212.2,211.7,379.0,662.0,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"25,221,563","29,725,872","30,878,673","48,236,405","94,604,206","96,282,453", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-136,10,-59,-113,-108,,5, 
  영업활동현금흐름＜당기＞,-33.3,2.7,-17.6,-43.4,-72.4,, , 
  보통주수정평균발행주식수＜당기＞,"24,510,732","27,735,799","29,969,195","38,221,155","66,867,754","96,056,714", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,570,909,345,424,261,,-38, 
  매출액＜당기＞,139.7,252.3,103.5,161.9,174.5,, , 
  보통주수정평균발행주식수＜당기＞,"24,510,732","27,735,799","29,969,195","38,221,155","66,867,754","96,056,714", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,N/A,N/A,N/A,,61.23, 
  보통주수정주가(기말)＜당기＞,"4,342","2,528","1,450","1,605",992,632, , 
  EPS＜당기＞,-73,-80,-69,-225,-358,, , 
펼치기 PBR,6.62,3.54,2.11,2.04,1.42,,-30.61, 
  보통주수정주가(기말)＜당기＞,"4,342","2,528","1,450","1,605",992,632, , 
  BPS＜당기＞,656,714,685,786,700,, , 
펼치기 PCR,-31.99,262.91,-24.66,-14.15,-9.16,,35.28, 
  보통주수정주가(기말)＜당기＞,"4,342","2,528","1,450","1,605",992,632, , 
  CPS＜당기＞,-136,10,-59,-113,-108,, , 
펼치기 PSR,7.62,2.78,4.20,3.79,3.80,,0.32, 
  보통주수정주가(기말)＜당기＞,"4,342","2,528","1,450","1,605",992,632, , 
  SPS＜당기＞,570,909,345,424,261,, , 
펼치기 EV/EBITDA,364.07,170.81,249.86,-46.15,-13.10,,71.61, 
  EV＜당기＞,"1,386.2",980.6,731.1,"1,170.0",935.1,, , 
  EBITDA＜당기＞,3.8,5.7,2.9,-25.4,-71.4,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,0.00,,0.00, 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
